symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
AKAM,2017-09-01,47.08,47.65,False,47.0493,47.28,reg,1149430
AKAM,2017-09-05,46.17,47.0,False,45.81,46.86,reg,1645524
AKAM,2017-09-06,46.89,46.97,False,46.1,46.23,reg,1566359
AKAM,2017-09-07,46.8,47.0,False,46.61,46.98,reg,1472448
AKAM,2017-09-08,46.0,46.95,False,45.94,46.0,reg,1691242
AKAM,2017-09-11,46.47,46.62,False,46.22,46.29,reg,1364320
AKAM,2017-09-12,46.8,46.98,False,46.26,46.45,reg,1306436
AKAM,2017-09-13,46.68,46.91,False,46.53,46.74,reg,1133846
AKAM,2017-09-14,46.6,46.66,False,46.13,46.57,reg,1521098
AKAM,2017-09-15,47.34,47.36,False,46.49,46.56,reg,2697554
AKAM,2017-09-18,47.57,47.91,False,47.355,47.39,reg,1397355
AKAM,2017-09-19,47.69,47.82,False,47.29,47.77,reg,1699478
AKAM,2017-09-20,47.67,47.9,False,47.34,47.69,reg,1405979
AKAM,2017-09-21,47.52,47.89,False,47.5,47.59,reg,1110539
AKAM,2017-09-22,48.33,48.38,False,47.0101,47.26,reg,1657146
AKAM,2017-09-25,47.92,48.6,False,47.44,48.2,reg,2562561
AKAM,2017-09-26,47.83,48.3374,False,47.76,48.21,reg,1872901
AKAM,2017-09-27,47.75,48.13,False,47.44,48.12,reg,1562548
AKAM,2017-09-28,47.68,47.71,False,46.97,47.62,reg,1780552
AKAM,2017-09-29,48.72,48.82,False,47.583999999999996,47.59,reg,1821282
AKAM,2017-10-02,50.0,50.08,False,48.72,49.35,reg,2610272
AKAM,2017-10-03,50.5,50.635,False,49.91,50.14,reg,1798164
AKAM,2017-10-04,50.5,50.7,False,50.26,50.49,reg,1373249
AKAM,2017-10-05,50.78,50.86,False,50.34,50.6,reg,1409547
AKAM,2017-10-06,50.63,50.87,False,50.21,50.7,reg,1353258
AKAM,2017-10-09,50.31,50.5924,False,50.105,50.59,reg,1186862
AKAM,2017-10-10,51.03,51.11,False,50.59,50.73,reg,1025272
AKAM,2017-10-11,50.52,50.52,False,49.59,49.86,reg,2436994
AKAM,2017-10-12,50.52,50.93,False,50.22,50.41,reg,1171001
AKAM,2017-10-13,50.76,50.89,False,50.58,50.66,reg,1509481
AKAM,2017-10-16,50.73,51.1,False,50.7,50.84,reg,1425760
AKAM,2017-10-17,50.58,50.92,False,50.39,50.65,reg,911521
AKAM,2017-10-18,51.0,51.19,False,50.56,50.7,reg,1319405
AKAM,2017-10-19,51.65,51.68,False,50.83,50.92,reg,1277996
AKAM,2017-10-20,51.87,52.1,False,51.63,51.86,reg,1901168
AKAM,2017-10-23,51.46,52.09,False,51.41,51.89,reg,2695413
AKAM,2017-10-24,51.91,52.09,False,50.96,51.5,reg,4786329
