symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
ANSS,2017-09-01,128.11,129.57,False,127.71,128.57,reg,393272
ANSS,2017-09-05,128.49,128.52,False,126.93,128.0,reg,371500
ANSS,2017-09-06,127.68,128.99,False,127.22,128.67,reg,372333
ANSS,2017-09-07,128.46,128.88,False,127.64,128.17,reg,281017
ANSS,2017-09-08,128.44,129.115,False,127.87,128.31,reg,237385
ANSS,2017-09-11,129.81,130.46,False,128.39,129.28,reg,453313
ANSS,2017-09-12,132.01,132.07,False,129.14,129.49,reg,447892
ANSS,2017-09-13,131.51,132.74,False,131.34,131.68,reg,335883
ANSS,2017-09-14,129.15,131.43,False,128.96,131.43,reg,560428
ANSS,2017-09-15,121.82,129.08,False,120.79,129.08,reg,1769615
ANSS,2017-09-18,123.59,123.83,False,121.37,121.78,reg,636585
ANSS,2017-09-19,123.44,123.84,False,122.31,123.3,reg,820101
ANSS,2017-09-20,122.99,124.37,False,122.52,123.5,reg,743524
ANSS,2017-09-21,120.82,123.21,False,120.33,123.0,reg,673377
ANSS,2017-09-22,122.05,122.26,False,120.08,120.3,reg,511331
ANSS,2017-09-25,120.74,122.13,False,119.49,121.82,reg,523773
ANSS,2017-09-26,120.67,121.15,False,119.2,121.0,reg,411906
ANSS,2017-09-27,120.94,121.45,False,119.78,121.0,reg,574797
ANSS,2017-09-28,121.63,121.95,False,120.38,120.38,reg,578995
ANSS,2017-09-29,122.73,122.83,False,121.3408,121.67,reg,469322
ANSS,2017-10-02,123.78,124.59,False,123.16,123.16,reg,388681
ANSS,2017-10-03,124.65,124.87,False,123.62,123.73,reg,340582
ANSS,2017-10-04,124.55,124.69,False,124.0,124.31,reg,461477
ANSS,2017-10-05,125.24,125.28,False,124.3,125.21,reg,358845
ANSS,2017-10-06,126.06,126.21,False,124.13,125.12,reg,442758
ANSS,2017-10-09,126.11,126.37,False,125.19,125.95,reg,198879
ANSS,2017-10-10,126.18,126.81,False,125.775,126.66,reg,291400
ANSS,2017-10-11,127.14,127.27,False,125.93,126.3,reg,320738
ANSS,2017-10-12,129.24,129.78,False,126.88,127.11,reg,510544
ANSS,2017-10-13,129.94,130.22,False,129.34,129.82,reg,274019
ANSS,2017-10-16,131.31,131.48,False,129.8,130.15,reg,439031
ANSS,2017-10-17,129.69,131.86,False,129.1,131.24,reg,463035
ANSS,2017-10-18,129.56,130.31,False,129.39,130.22,reg,370741
ANSS,2017-10-19,129.89,129.92,False,127.68,129.36,reg,445384
ANSS,2017-10-20,130.94,131.04,False,129.505,130.26,reg,416154
ANSS,2017-10-23,131.22,132.47,False,131.08,131.44,reg,261563
ANSS,2017-10-24,132.11,132.14,False,130.47,131.31,reg,223440
ANSS,2017-10-25,132.85,133.4,False,131.38,131.61,reg,348402
ANSS,2017-10-26,133.84,133.99,False,132.53,133.51,reg,319403
ANSS,2017-10-27,135.78,135.96,False,132.95,134.05,reg,262671
ANSS,2017-10-30,135.8,135.92,False,134.67,135.33,reg,296194
ANSS,2017-10-31,136.71,137.05,False,134.45,136.02,reg,438009
ANSS,2017-11-01,135.6,138.39,False,135.28,137.55,reg,494834
ANSS,2017-11-02,148.68,155.14,False,143.27,143.98,reg,1511774
ANSS,2017-11-03,149.1,150.68,False,147.7,148.93,reg,747601
ANSS,2017-11-06,151.2,152.22,False,147.39,149.3,reg,745030
