symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
COST,2017-09-01,156.5048,156.8114,False,155.4762,155.8619,reg,2833724
COST,2017-09-05,157.3949,157.9685,False,155.7432,156.2278,reg,3413040
COST,2017-09-06,157.118,158.1861,False,156.3564,157.4443,reg,2873710
COST,2017-09-07,157.5334,157.8498,False,155.8431,157.2268,reg,2479292
COST,2017-09-08,155.585,156.7619,False,153.33,156.6333,reg,3364570
COST,2017-09-11,155.6344,156.2674,False,155.3377,156.1586,reg,2442453
COST,2017-09-12,158.285,158.8848,False,155.7244,155.941,reg,2988434
COST,2017-09-13,161.2027,162.1521,False,158.2512,158.3839,reg,4202017
COST,2017-09-14,160.5895,160.8961,False,159.8675,160.8961,reg,2493321
COST,2017-09-15,160.5202,160.885,False,159.9268,160.4609,reg,3757799
COST,2017-09-18,159.1455,161.6675,False,158.9971,160.4016,reg,2047121
COST,2017-09-19,159.7884,159.8873,False,158.196,159.1949,reg,1790775
COST,2017-09-20,161.0642,161.2521,False,159.4916,159.7389,reg,2432302
COST,2017-09-21,159.7092,161.1433,False,158.6411,161.1433,reg,1738809
COST,2017-09-22,159.5213,160.2235,False,158.6114,159.1356,reg,1535895
COST,2017-09-25,160.5499,160.9159,False,158.7598,159.0664,reg,1799953
COST,2017-09-26,162.2708,162.9236,False,160.8071,160.9257,reg,2370441
COST,2017-09-27,162.61700000000005,163.5022,False,161.5884,162.6862,reg,2053131
COST,2017-09-28,162.1027,163.1402,False,161.7466,162.6664,reg,1730860
COST,2017-09-29,162.4884,163.2599,False,161.9642,162.1027,reg,1852282
COST,2017-10-02,164.0709,164.5951,False,162.4884,163.1115,reg,2267689
COST,2017-10-03,163.2698,165.4555,False,163.2203,164.4962,reg,2839448
COST,2017-10-04,163.3983,164.1104,False,162.885,163.4181,reg,1918560
COST,2017-10-05,165.2379,165.2874,False,163.4379,164.0412,reg,4715438
COST,2017-10-06,155.3674,157.7114,False,154.8234,157.2564,reg,18001179
COST,2017-10-09,152.9146,156.0201,False,152.4201,155.2883,reg,7028795
COST,2017-10-10,155.1498,155.6344,False,153.3794,153.9629,reg,5420155
COST,2017-10-11,156.1388,157.2169,False,155.3377,155.5751,reg,3859269
COST,2017-10-12,155.4959,156.2575,False,154.6454,156.1388,reg,3596284
COST,2017-10-13,158.0971,158.3246,False,155.3674,155.6938,reg,3634493
COST,2017-10-16,157.0685,158.0477,False,156.5839,157.6323,reg,2454072
COST,2017-10-17,156.6432,157.5235,False,155.8421,157.2564,reg,2426824
COST,2017-10-18,155.8223,157.0982,False,155.58,157.0982,reg,3011277
COST,2017-10-19,156.7224,157.019,False,155.2815,155.4168,reg,2981719
COST,2017-10-20,159.007,159.2444,False,156.7718,157.2268,reg,3993227
COST,2017-10-23,160.2631,160.6093,False,158.8191,159.0861,reg,2811210
COST,2017-10-24,160.5104,161.1038,False,159.2345,159.3927,reg,3040729
COST,2017-10-25,160.4016,161.2126,False,158.8191,159.2345,reg,3604739
COST,2017-10-26,160.6785,161.7565,False,159.0268,160.6785,reg,3038865
COST,2017-10-27,160.5994,160.8961,False,158.9378,159.0367,reg,3400493
COST,2017-10-30,158.4729,160.2235,False,157.7213,160.2136,reg,2551151
COST,2017-10-31,159.3136,159.5015,False,157.9656,158.0872,reg,2513630
COST,2017-11-01,160.906,161.4994,False,159.5213,160.1939,reg,2129364
COST,2017-11-02,163.1412,163.7346,False,160.8268,161.9346,reg,3255662
COST,2017-11-03,164.6148,165.2376,False,161.984,162.3598,reg,3112975
COST,2017-11-06,163.2401,164.761,False,163.1709,163.9819,reg,1917296
COST,2017-11-07,164.4566,164.6742,False,162.795,163.3884,reg,1944164
COST,2017-11-08,167.1962,167.3347,False,164.1994,164.8028,reg,3494941
COST,2017-11-09,167.2556,167.4534,False,165.2182,165.6434,reg,2094015
COST,2017-11-10,169.4809,169.5007,False,166.2321,166.5929,reg,2673095
COST,2017-11-13,169.5798,171.1919,False,168.7787,169.1248,reg,4093280
COST,2017-11-14,169.56,169.9457,False,167.9083,168.9468,reg,1774662
COST,2017-11-15,167.1468,168.8578,False,165.2231,167.4435,reg,2439925
COST,2017-11-16,169.6069,169.96400000000003,False,167.8015,168.8629,reg,2342744
