symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
EA,2017-09-01,119.31,121.77,False,118.51,121.27,reg,2751464
EA,2017-09-05,118.21,119.3,False,116.32,118.8,reg,2336260
EA,2017-09-06,117.0,119.15,False,116.47,118.77,reg,1770590
EA,2017-09-07,118.93,119.1,False,116.59,117.2,reg,1810885
EA,2017-09-08,118.28,120.16,False,117.71,119.99,reg,2424349
EA,2017-09-11,121.19,121.35,False,119.28,119.88,reg,2282097
EA,2017-09-12,120.41,122.125,False,118.675,121.61,reg,2659355
EA,2017-09-13,119.6,120.45,False,119.0,119.86,reg,2515308
EA,2017-09-14,119.19,119.66,False,117.71,118.74,reg,2543098
EA,2017-09-15,119.42,119.915,False,117.75,119.29,reg,3192011
EA,2017-09-18,119.96,120.87,False,119.5,119.5,reg,2573726
EA,2017-09-19,120.21,121.2,False,119.37,120.25,reg,2237901
EA,2017-09-20,120.34,121.4,False,118.74,120.77,reg,2393280
EA,2017-09-21,118.02,120.49,False,117.82,120.49,reg,1914374
EA,2017-09-22,118.5,120.18,False,117.15,117.46,reg,2077341
EA,2017-09-25,114.2,118.29,False,112.85,118.05,reg,4113093
EA,2017-09-26,113.92,114.67,False,112.833,114.5,reg,2994378
EA,2017-09-27,115.97,116.65,False,115.4,115.4,reg,1793236
EA,2017-09-28,116.61,116.79,False,115.24,115.82,reg,1395942
EA,2017-09-29,118.06,118.17,False,116.3,116.71,reg,1743521
EA,2017-10-02,117.95,119.72,False,116.94,118.89,reg,1850656
EA,2017-10-03,117.96,118.1,False,116.76,117.92,reg,1249707
EA,2017-10-04,118.56,118.75,False,116.41,117.52,reg,1642436
EA,2017-10-05,119.52,119.75,False,117.93,118.63,reg,1438945
EA,2017-10-06,120.09,120.29,False,118.44,119.03,reg,1912895
EA,2017-10-09,118.62,119.3,False,117.67,119.24,reg,1516336
EA,2017-10-10,117.82,119.49,False,116.71,119.03,reg,1558231
EA,2017-10-11,116.05,118.0,False,115.52,117.33,reg,3152809
EA,2017-10-12,117.14,117.78,False,115.7701,115.97,reg,2046614
EA,2017-10-13,118.62,118.92,False,117.55,117.76,reg,1931204
EA,2017-10-16,117.48,119.0,False,117.05,118.81,reg,2601806
EA,2017-10-17,115.98,118.15,False,115.63,117.2,reg,3130345
EA,2017-10-18,113.16,113.75,False,110.31,113.41,reg,9784696
EA,2017-10-19,113.07,113.08,False,111.12,112.0,reg,3183207
EA,2017-10-20,113.62,114.28,False,113.15,113.6,reg,1988808
EA,2017-10-23,113.66,114.43,False,112.73,113.81,reg,2204960
EA,2017-10-24,113.39,114.72,False,112.76299999999999,113.68,reg,2006147
EA,2017-10-25,114.56,114.88,False,112.59,113.2,reg,3205348
EA,2017-10-26,115.83,117.06,False,115.02,115.07,reg,2453215
EA,2017-10-27,116.89,117.55,False,115.41,116.83,reg,2892120
EA,2017-10-30,117.58,117.77,False,116.64,117.13,reg,2614074
EA,2017-10-31,119.6,119.84,False,116.37,118.125,reg,5477404
EA,2017-11-01,114.47,116.6,False,111.28,116.0,reg,9669214
EA,2017-11-02,112.69,114.52,False,112.6,114.35,reg,3438269
EA,2017-11-03,113.2,113.76,False,112.57,113.47,reg,2925310
EA,2017-11-06,112.46,113.5,False,110.76,112.99,reg,3642475
EA,2017-11-07,111.7,112.72,False,110.08,112.29,reg,2830314
EA,2017-11-08,114.15,115.6,False,112.1,112.45,reg,3393953
EA,2017-11-09,111.89,113.3,False,110.94,112.99,reg,3445746
EA,2017-11-10,112.75,112.83,False,110.82,111.26,reg,2534088
EA,2017-11-13,112.01,113.24,False,111.19,112.0,reg,3168263
EA,2017-11-14,112.27,113.9,False,110.39,110.6,reg,3618044
EA,2017-11-15,111.48,112.87,False,110.52,112.72,reg,2585931
EA,2017-11-16,111.6,113.13,False,111.21,111.85,reg,2445824
EA,2017-11-17,108.82,109.55,False,107.5,108.99,reg,8556371
EA,2017-11-20,107.64,108.45,False,106.75,108.28,reg,5975006
EA,2017-11-21,107.71,108.7699,False,107.54,107.78,reg,3298413
EA,2017-11-22,107.32,108.44,False,106.61,108.04,reg,2558220
EA,2017-11-24,107.94,108.58,False,107.59,107.66,reg,1306290
EA,2017-11-27,106.99,108.285,False,106.79,107.86,reg,2540099
EA,2017-11-28,109.47,110.52,False,106.74,106.99,reg,5499398
EA,2017-11-29,105.49,109.39,False,104.95,109.21,reg,5590651
EA,2017-11-30,106.35,106.5,False,105.06,106.11,reg,5395195
EA,2017-12-01,106.02,106.87,False,103.95,105.86,reg,3859396
EA,2017-12-04,100.83,105.875,False,100.68,105.53,reg,6573170
EA,2017-12-05,103.38,105.1926,False,99.63,100.55,reg,4582266
EA,2017-12-06,103.18,103.92,False,100.41,102.96,reg,4668409
EA,2017-12-07,104.37,105.6,False,102.75,103.23,reg,3590483
EA,2017-12-08,105.27,106.4,False,104.42,104.49,reg,3535367
EA,2017-12-11,107.92,108.16,False,105.0,105.61,reg,3998236
EA,2017-12-12,107.66,108.92,False,107.02,108.0,reg,3880660
EA,2017-12-13,105.54,108.31,False,105.22,107.71,reg,3790114
EA,2017-12-14,106.42,107.62,False,104.7,105.2,reg,2751181
EA,2017-12-15,109.28,109.68,False,106.63,107.77,reg,6107280
EA,2017-12-18,107.34,110.0,False,106.56,109.89,reg,4375271
EA,2017-12-19,107.0,107.7558,False,106.69,107.42,reg,2077177
EA,2017-12-20,108.45,108.87,False,107.15,107.5,reg,2650972
EA,2017-12-21,107.97,108.735,False,107.78,107.88,reg,2804598
EA,2017-12-22,106.02,108.31,False,105.675,108.31,reg,2424624
EA,2017-12-26,105.06,106.02,False,104.65,105.66,reg,1690146
EA,2017-12-27,105.23,106.44,False,104.58,105.4,reg,2527483
EA,2017-12-28,105.31,105.55,False,104.55,105.29,reg,1439145
EA,2017-12-29,105.06,105.68,False,104.39,105.29,reg,2113576
EA,2018-01-02,109.45,110.0,False,105.35,106.15,reg,4599120
EA,2018-01-03,109.75,111.33,False,109.37,109.75,reg,3210580
EA,2018-01-04,107.19,110.55,False,106.67,109.87,reg,3777937
EA,2018-01-05,112.39,112.755,False,107.59,108.02,reg,5962962
EA,2018-01-08,113.22,114.169,False,111.2,113.5,reg,4579079
EA,2018-01-09,112.18,113.65,False,110.46,113.33,reg,4111726
EA,2018-01-10,112.25,113.3,False,111.286,111.5,reg,2493593
EA,2018-01-11,112.0,113.0,False,111.7,112.56,reg,2788765
EA,2018-01-12,113.13,113.8999,False,110.49,110.49,reg,3467371
EA,2018-01-16,111.92,114.7,False,111.61,114.0,reg,3570784
EA,2018-01-17,113.14,113.43,False,111.52,113.0,reg,2708990
EA,2018-01-18,115.28,115.63,False,113.2,114.05,reg,4353909
EA,2018-01-19,116.18,116.41,False,114.721,115.35,reg,3534229
EA,2018-01-22,117.99,118.3,False,115.82,116.32,reg,4235813
EA,2018-01-23,117.67,118.6699,False,116.941,117.88,reg,3449687
EA,2018-01-24,114.66,118.41,False,114.26,118.41,reg,6553553
EA,2018-01-25,114.5,115.97,False,113.67,115.7,reg,3457720
EA,2018-01-26,115.2,116.24,False,113.54,115.33,reg,3417625
EA,2018-01-29,117.65,119.41,False,115.21,115.21,reg,6486518
EA,2018-01-30,118.7,119.32,False,116.4,116.4,reg,8493560
EA,2018-01-31,126.96,131.01,False,126.47,129.55,reg,14727303
EA,2018-02-01,128.18,130.06,False,126.01100000000001,126.75,reg,6297155
EA,2018-02-02,124.53,128.17,False,124.46,127.68,reg,6471203
EA,2018-02-05,121.64,126.21,False,120.68,123.73,reg,4533443
EA,2018-02-06,123.13,123.3499,False,117.76,118.86,reg,4652254
EA,2018-02-07,123.05,125.0,False,122.18,122.86,reg,4066883
EA,2018-02-08,116.54,123.0,False,116.52,123.0,reg,5478948
EA,2018-02-09,120.64,122.14,False,114.67,117.96,reg,5945147
EA,2018-02-12,122.22,124.16,False,121.53,121.78,reg,3695119
EA,2018-02-13,122.28,123.13,False,120.58,120.85,reg,2388692
EA,2018-02-14,123.77,124.87,False,121.23,121.23,reg,4293416
EA,2018-02-15,126.48,127.03,False,123.44,124.83,reg,3207060
EA,2018-02-16,126.02,126.79,False,125.14,126.43,reg,3214545
EA,2018-02-20,126.34,127.55,False,125.35,125.37,reg,2540562
EA,2018-02-21,124.9,128.1,False,124.81,126.61,reg,3191738
EA,2018-02-22,124.61,126.35,False,123.92,125.79,reg,1919655
EA,2018-02-23,127.1,127.28,False,123.74,125.1,reg,2476862
EA,2018-02-26,128.57,128.8,False,126.91,127.39,reg,2877814
EA,2018-02-27,125.8,128.6,False,125.55,128.06,reg,3158806
