symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
EVHC,2017-09-01,52.31,52.71,False,51.9,52.59,reg,851491
EVHC,2017-09-05,50.93,52.29,False,50.74,52.15,reg,2426162
EVHC,2017-09-06,48.77,51.195,False,48.26,51.09,reg,2290382
EVHC,2017-09-07,48.5,49.25,False,47.57,48.8,reg,2225119
EVHC,2017-09-08,49.25,49.79,False,47.47,48.43,reg,3859265
EVHC,2017-09-11,50.62,50.91,False,49.5,49.61,reg,2560566
EVHC,2017-09-12,50.29,51.12,False,50.24,50.63,reg,1365238
EVHC,2017-09-13,49.75,50.37,False,49.475,50.23,reg,1993270
EVHC,2017-09-14,49.25,50.11,False,49.17,49.86,reg,1738006
EVHC,2017-09-15,48.49,49.18,False,47.92,49.18,reg,2239404
EVHC,2017-09-18,47.67,48.7,False,47.32,48.7,reg,2524119
EVHC,2017-09-19,43.11,46.55,False,43.095,46.11,reg,11219790
EVHC,2017-09-20,44.37,45.1,False,43.1,43.12,reg,3756238
EVHC,2017-09-21,44.76,44.81,False,43.91,44.56,reg,1817140
EVHC,2017-09-22,44.69,45.33,False,42.91,44.63,reg,3133677
EVHC,2017-09-25,43.62,45.32,False,43.37,44.79,reg,1746411
EVHC,2017-09-26,43.27,44.295,False,42.71,43.64,reg,3107447
EVHC,2017-09-27,42.8,43.66,False,42.615,43.53,reg,1537496
EVHC,2017-09-28,44.0,44.16,False,42.5,42.56,reg,2176893
EVHC,2017-09-29,44.95,45.11,False,43.67,44.01,reg,2540652
EVHC,2017-10-02,44.97,45.34,False,44.46,44.88,reg,1927597
EVHC,2017-10-03,44.85,45.19,False,44.21,45.19,reg,1503286
EVHC,2017-10-04,44.57,45.205,False,44.51,45.1,reg,1353508
EVHC,2017-10-05,44.57,45.04,False,44.45,44.45,reg,918635
EVHC,2017-10-06,44.54,44.815,False,43.59,44.51,reg,1616805
EVHC,2017-10-09,42.93,44.45,False,42.71,44.33,reg,1915006
EVHC,2017-10-10,42.38,43.47,False,42.27,43.03,reg,1316010
EVHC,2017-10-11,41.84,42.68,False,41.57,42.11,reg,2164946
EVHC,2017-10-12,41.65,41.84,False,40.71,41.59,reg,2370330
EVHC,2017-10-13,40.74,41.39,False,39.66,40.87,reg,2306591
EVHC,2017-10-16,41.45,41.675,False,40.67,40.8,reg,2671830
EVHC,2017-10-17,41.78,41.98,False,40.95,41.76,reg,1719399
EVHC,2017-10-18,40.65,41.78,False,40.65,41.78,reg,1538326
EVHC,2017-10-19,45.08,45.3,False,40.32,40.67,reg,6685528
EVHC,2017-10-20,45.13,45.97,False,44.46,45.3,reg,3201179
EVHC,2017-10-23,44.15,44.87,False,43.52,44.84,reg,2081552
EVHC,2017-10-24,43.6,44.44,False,42.51,44.1,reg,4595260
EVHC,2017-10-25,42.59,43.65,False,41.901,43.65,reg,4734891
EVHC,2017-10-26,43.27,43.45,False,41.88,42.64,reg,2228235
EVHC,2017-10-27,43.4,43.58,False,42.66,43.27,reg,1881586
EVHC,2017-10-30,42.05,43.73,False,41.23,43.73,reg,2602732
EVHC,2017-10-31,42.6,42.955,False,41.46,41.94,reg,3479600
EVHC,2017-11-01,28.03,31.65,False,26.56,30.07,reg,50450038
EVHC,2017-11-02,27.25,28.59,False,26.9486,27.37,reg,10218465
EVHC,2017-11-03,27.04,28.23,False,26.86,27.01,reg,4795032
EVHC,2017-11-06,26.85,27.26,False,26.34,26.85,reg,7522103
EVHC,2017-11-07,25.72,27.07,False,25.44,26.85,reg,4626589
EVHC,2017-11-08,24.79,25.69,False,24.77,25.54,reg,6085187
EVHC,2017-11-09,25.73,26.08,False,24.62,24.67,reg,5502942
EVHC,2017-11-10,24.95,25.83,False,24.45,25.73,reg,4382257
EVHC,2017-11-13,25.86,26.12,False,23.77,25.13,reg,5764962
EVHC,2017-11-14,28.52,29.5,False,25.61,26.39,reg,13625749
EVHC,2017-11-15,28.43,28.72,False,27.52,28.1,reg,5098760
EVHC,2017-11-16,29.25,29.71,False,28.61,28.8,reg,5000176
EVHC,2017-11-17,29.05,29.17,False,28.1901,28.94,reg,3548583
EVHC,2017-11-20,28.99,29.07,False,28.32,28.76,reg,3554985
EVHC,2017-11-21,30.0,30.25,False,28.69,28.83,reg,2899091
EVHC,2017-11-22,30.06,30.26,False,29.67,30.0,reg,4209943
EVHC,2017-11-24,29.9,30.15,False,29.47,30.15,reg,822319
EVHC,2017-11-27,30.07,30.24,False,29.17,29.8,reg,2706005
EVHC,2017-11-28,30.72,30.9301,False,29.48,30.25,reg,3052980
EVHC,2017-11-29,31.83,32.15,False,30.84,30.85,reg,3013484
EVHC,2017-11-30,31.93,32.3,False,31.04,31.8,reg,3973167
EVHC,2017-12-01,30.74,31.94,False,30.23,31.82,reg,3816966
EVHC,2017-12-04,30.83,32.145,False,30.82,30.95,reg,3414587
EVHC,2017-12-05,31.23,31.49,False,30.34,30.93,reg,2627090
EVHC,2017-12-06,30.53,31.84,False,30.24,31.71,reg,2997983
EVHC,2017-12-07,31.2,31.37,False,30.3,30.5,reg,2295875
EVHC,2017-12-08,32.07,32.19,False,30.99,31.34,reg,2837355
EVHC,2017-12-11,32.9,33.16,False,32.1,32.35,reg,4069450
EVHC,2017-12-12,33.4,34.07,False,32.9,33.4,reg,4302080
EVHC,2017-12-13,33.37,33.68,False,32.0,33.24,reg,4039479
EVHC,2017-12-14,32.96,33.69,False,32.87,33.6,reg,2424311
EVHC,2017-12-15,34.3,34.6,False,33.15,33.15,reg,5496603
EVHC,2017-12-18,33.86,34.84,False,32.94,34.57,reg,2987123
EVHC,2017-12-19,33.14,34.19,False,32.95,33.75,reg,2485774
EVHC,2017-12-20,32.62,33.35,False,32.33,33.08,reg,3206165
EVHC,2017-12-21,34.52,35.22,False,32.95,32.95,reg,4774486
EVHC,2017-12-22,34.38,34.72,False,33.85,34.5,reg,3232877
EVHC,2017-12-26,33.74,34.81,False,33.33,34.26,reg,2382487
EVHC,2017-12-27,34.56,34.56,False,33.36,33.74,reg,1633200
EVHC,2017-12-28,34.64,34.8,False,34.09,34.56,reg,2645315
EVHC,2017-12-29,34.56,35.09,False,34.53,34.7,reg,1471045
EVHC,2018-01-02,35.18,35.44,False,34.35,34.56,reg,1902113
EVHC,2018-01-03,35.0,35.23,False,34.4,35.23,reg,1990514
EVHC,2018-01-04,35.4,35.69,False,34.36,35.42,reg,2258260
EVHC,2018-01-05,35.0,35.5,False,33.53,35.34,reg,6013069
EVHC,2018-01-08,35.06,35.55,False,34.34,35.02,reg,2832132
EVHC,2018-01-09,34.92,35.47,False,34.85,35.06,reg,2253584
EVHC,2018-01-10,35.07,35.22,False,34.61,34.85,reg,2236366
EVHC,2018-01-11,35.85,36.84,False,35.27,35.29,reg,2236132
EVHC,2018-01-12,35.72,36.26,False,35.3,35.86,reg,1963612
EVHC,2018-01-16,35.06,35.93,False,34.87,35.93,reg,1706233
EVHC,2018-01-17,34.81,35.15,False,34.68,35.04,reg,2883224
EVHC,2018-01-18,34.86,35.08,False,34.44,34.79,reg,3239825
EVHC,2018-01-19,35.83,35.85,False,34.87,34.95,reg,1815842
EVHC,2018-01-22,36.11,36.2,False,35.18,35.79,reg,2024457
EVHC,2018-01-23,35.8,36.15,False,35.41,36.0,reg,1814939
EVHC,2018-01-24,35.99,36.4,False,35.2,36.25,reg,2100603
EVHC,2018-01-25,36.13,36.3109,False,35.39,36.31,reg,1224540
EVHC,2018-01-26,36.51,36.59,False,35.855,36.21,reg,1658865
EVHC,2018-01-29,36.93,37.39,False,36.55,36.55,reg,1474846
EVHC,2018-01-30,36.24,37.18,False,36.12,36.29,reg,1917354
EVHC,2018-01-31,35.99,37.08,False,35.53,37.08,reg,1350531
EVHC,2018-02-01,35.7,36.29,False,34.791,35.64,reg,2026267
EVHC,2018-02-02,35.0,35.51,False,34.86,35.44,reg,1286062
EVHC,2018-02-05,33.78,35.21,False,33.71,34.73,reg,3950751
EVHC,2018-02-06,34.7,34.84,False,32.72,33.04,reg,2781853
EVHC,2018-02-07,34.82,35.48,False,34.61,34.76,reg,1483333
EVHC,2018-02-08,35.34,36.68,False,35.11,35.11,reg,4055382
EVHC,2018-02-09,36.85,37.57,False,35.24,35.85,reg,3591687
EVHC,2018-02-12,36.69,37.0285,False,35.92,37.0,reg,1831916
EVHC,2018-02-13,36.41,36.63,False,35.74,36.4,reg,1474269
EVHC,2018-02-14,37.32,37.7,False,35.9,36.23,reg,1738046
EVHC,2018-02-15,38.07,38.135,False,37.22,37.77,reg,3221154
EVHC,2018-02-16,37.7,38.48,False,37.6,38.07,reg,2294852
EVHC,2018-02-20,37.39,37.65,False,37.06,37.53,reg,2388945
EVHC,2018-02-21,37.53,38.46,False,37.24,37.58,reg,1742851
EVHC,2018-02-22,37.66,38.31,False,37.5,37.54,reg,2528015
EVHC,2018-02-23,37.19,37.99,False,36.64,37.69,reg,1124268
EVHC,2018-02-26,36.67,37.21,False,36.37,37.16,reg,2126954
