symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
FLT,2017-09-01,143.92,145.07,False,143.58,143.8,reg,898953
FLT,2017-09-05,141.29,143.8,False,139.8,143.06,reg,858205
FLT,2017-09-06,140.36,141.92,False,139.471,141.67,reg,800957
FLT,2017-09-07,142.01,143.19,False,140.39,140.5,reg,580031
FLT,2017-09-08,144.35,145.55,False,141.82,141.82,reg,917214
FLT,2017-09-11,146.1,147.7,False,144.35,145.44,reg,1644411
FLT,2017-09-12,144.93,146.9,False,144.27,146.04,reg,1422639
FLT,2017-09-13,144.76,145.51,False,143.16,143.9,reg,1266085
FLT,2017-09-14,144.01,145.379,False,143.01,144.37,reg,897124
FLT,2017-09-15,145.02,146.07,False,144.115,144.52,reg,1299394
FLT,2017-09-18,151.21,151.27,False,145.2726,145.31,reg,1467151
FLT,2017-09-19,153.26,154.58,False,151.175,151.29,reg,1947653
FLT,2017-09-20,151.0,153.2852,False,150.49,153.03,reg,1404905
FLT,2017-09-21,150.64,152.31,False,150.13,151.86,reg,767628
FLT,2017-09-22,153.67,153.87,False,149.72,150.33,reg,781736
FLT,2017-09-25,155.33,155.58,False,152.44,153.41,reg,1367271
FLT,2017-09-26,154.72,155.67,False,154.16,155.67,reg,629981
FLT,2017-09-27,154.29,155.465,False,152.13,155.21,reg,666663
FLT,2017-09-28,154.7,155.09,False,153.68,154.25,reg,365099
FLT,2017-09-29,154.77,155.589,False,154.54,155.0,reg,475148
FLT,2017-10-02,154.76,155.8,False,153.45,155.39,reg,677546
FLT,2017-10-03,155.0,156.0,False,154.66,154.86,reg,671600
FLT,2017-10-04,158.39,158.53,False,154.84,155.37,reg,537528
FLT,2017-10-05,157.74,158.94,False,156.35,158.32,reg,762116
FLT,2017-10-06,160.76,160.875,False,157.505,158.18,reg,656681
FLT,2017-10-09,162.16,163.51,False,159.91,160.79,reg,529807
FLT,2017-10-10,161.55,164.68,False,160.8,163.07,reg,818683
FLT,2017-10-11,161.57,162.22,False,160.15,160.73,reg,455073
FLT,2017-10-12,160.35,161.555,False,160.0,160.92,reg,587022
FLT,2017-10-13,160.62,161.81,False,159.855,160.46,reg,615877
FLT,2017-10-16,160.69,161.21,False,160.005,161.03,reg,653466
FLT,2017-10-17,162.64,162.775,False,160.36,160.72,reg,503432
FLT,2017-10-18,165.96,166.23,False,163.87,163.87,reg,1118356
FLT,2017-10-19,164.04,165.21,False,162.83,165.21,reg,651631
FLT,2017-10-20,164.68,165.78,False,162.78,165.0,reg,539772
FLT,2017-10-23,164.67,165.05,False,164.1,164.69,reg,414487
FLT,2017-10-24,163.83,166.27,False,163.47,164.72,reg,640022
FLT,2017-10-25,164.4,165.79,False,163.01,163.41,reg,1069220
FLT,2017-10-26,164.14,165.61,False,163.65,164.84,reg,746944
FLT,2017-10-27,165.37,166.04,False,163.12,164.7,reg,798136
FLT,2017-10-30,163.7,165.3,False,163.24,165.26,reg,1036405
FLT,2017-10-31,165.27,165.7,False,163.39,164.27,reg,1587877
FLT,2017-11-01,164.31,167.82,False,164.01,166.5,reg,1435445
FLT,2017-11-02,182.31,183.61,False,168.5,168.5,reg,3265262
FLT,2017-11-03,178.8,182.91,False,174.955,182.51,reg,1217486
FLT,2017-11-06,179.86,181.14,False,177.79,178.67,reg,927420
FLT,2017-11-07,177.0,179.32,False,176.04,179.3,reg,820271
FLT,2017-11-08,175.95,177.96,False,175.68,177.0,reg,1010330
FLT,2017-11-09,177.0,177.18,False,174.71,175.34,reg,822874
FLT,2017-11-10,180.55,180.59,False,176.11,176.11,reg,970537
FLT,2017-11-13,181.42,181.9,False,178.66,179.26,reg,903110
FLT,2017-11-14,178.68,181.25,False,178.57,181.0,reg,528896
FLT,2017-11-15,176.48,177.44,False,174.31,176.21,reg,759231
FLT,2017-11-16,178.65,179.7,False,176.4,176.53,reg,754608
FLT,2017-11-17,178.69,179.94,False,178.01,179.0,reg,1059973
FLT,2017-11-20,178.73,179.24,False,176.955,178.48,reg,664521
FLT,2017-11-21,179.92,182.83,False,178.8,179.41,reg,676140
FLT,2017-11-22,178.64,180.0,False,178.04,180.0,reg,318111
FLT,2017-11-24,180.18,180.24,False,178.41,179.63,reg,140176
FLT,2017-11-27,178.57,180.2,False,178.13,179.66,reg,385687
FLT,2017-11-28,180.13,181.29,False,178.68,178.68,reg,721871
FLT,2017-11-29,179.52,181.335,False,177.71,180.67,reg,494693
FLT,2017-11-30,181.87,184.06,False,180.39,180.39,reg,811087
FLT,2017-12-01,180.84,182.91,False,180.0,181.97,reg,900327
FLT,2017-12-04,183.6,186.04,False,180.9524,182.88,reg,1227257
FLT,2017-12-05,183.87,184.79,False,182.04,183.99,reg,660071
FLT,2017-12-06,184.48,185.5099,False,182.318,183.77,reg,709147
FLT,2017-12-07,185.72,188.85,False,184.8,184.86,reg,970044
FLT,2017-12-08,186.43,187.13,False,184.29,185.8,reg,559351
FLT,2017-12-11,189.13,189.31,False,185.75,187.27,reg,826043
FLT,2017-12-12,189.29,191.0,False,187.93,188.62,reg,648820
FLT,2017-12-13,189.73,192.51,False,189.31,189.55,reg,595032
FLT,2017-12-14,188.5,190.099,False,187.42,189.5,reg,497348
FLT,2017-12-15,190.11,190.26,False,188.21,189.14,reg,725909
FLT,2017-12-18,190.68,192.24,False,190.41,191.32,reg,592901
FLT,2017-12-19,188.86,190.38,False,188.3595,190.21,reg,599564
FLT,2017-12-20,190.17,190.57,False,188.97,189.5,reg,401928
FLT,2017-12-21,191.18,191.71,False,189.3401,190.33,reg,480234
FLT,2017-12-22,190.46,191.93,False,189.52,191.93,reg,333666
FLT,2017-12-26,191.34,191.7,False,189.17,190.13,reg,347246
FLT,2017-12-27,191.43,192.24,False,190.95,191.47,reg,368781
FLT,2017-12-28,193.38,194.0,False,189.74,191.95,reg,422408
FLT,2017-12-29,192.43,194.51,False,191.79,194.51,reg,535053
FLT,2018-01-02,193.87,196.22,False,191.53,192.8,reg,908648
FLT,2018-01-03,194.96,196.175,False,192.78,194.86,reg,943410
FLT,2018-01-04,195.46,197.03,False,194.29,196.24,reg,969829
FLT,2018-01-05,197.0,197.03,False,194.67,196.04,reg,465333
FLT,2018-01-08,197.16,198.8599,False,195.48,197.36,reg,619865
FLT,2018-01-09,196.91,197.86,False,196.4506,197.28,reg,398740
FLT,2018-01-10,200.91,201.4,False,196.15,199.32,reg,563317
FLT,2018-01-11,202.58,203.59,False,200.0,201.38,reg,471134
FLT,2018-01-12,203.27,203.85,False,202.37,202.79,reg,353400
FLT,2018-01-16,201.8,206.2,False,200.515,205.02,reg,348989
FLT,2018-01-17,203.4,204.27,False,202.05,203.25,reg,493456
FLT,2018-01-18,203.25,205.06,False,202.4,203.8,reg,454897
FLT,2018-01-19,206.65,207.03,False,203.67,204.25,reg,457218
FLT,2018-01-22,206.77,207.96,False,205.01,207.56,reg,492898
FLT,2018-01-23,208.85,209.18,False,205.58,206.69,reg,457218
FLT,2018-01-24,207.83,210.58,False,207.53,209.69,reg,317631
FLT,2018-01-25,212.12,213.74,False,208.425,209.9,reg,515483
FLT,2018-01-26,212.03,213.005,False,211.3,212.5,reg,365150
FLT,2018-01-29,210.0,212.97,False,209.69,211.95,reg,550465
FLT,2018-01-30,209.59,210.96,False,207.55,209.19,reg,366414
FLT,2018-01-31,212.5,212.54,False,209.7899,210.04,reg,384975
FLT,2018-02-01,211.25,212.955,False,209.97,211.73,reg,589153
FLT,2018-02-02,207.51,211.22,False,207.0,209.99,reg,362575
FLT,2018-02-05,200.34,209.49,False,199.46,206.7,reg,707450
FLT,2018-02-06,203.45,205.715,False,196.12,196.81,reg,775812
FLT,2018-02-07,203.32,208.26,False,200.92,203.4,reg,810608
FLT,2018-02-08,194.61,204.76,False,194.59,203.98,reg,1208910
FLT,2018-02-09,189.92,198.01,False,182.5,192.4,reg,1637377
FLT,2018-02-12,192.69,193.71,False,189.46,191.94,reg,813378
FLT,2018-02-13,194.2,194.56,False,190.39,192.9,reg,723907
FLT,2018-02-14,194.77,195.59,False,191.1,193.34,reg,714175
FLT,2018-02-15,196.36,196.73,False,194.34,196.37,reg,610475
FLT,2018-02-16,198.6,200.51,False,193.98,195.0,reg,693396
FLT,2018-02-20,199.45,201.64,False,197.87,197.94,reg,820754
FLT,2018-02-21,203.64,207.17,False,199.02,199.02,reg,758812
FLT,2018-02-22,204.07,205.3,False,202.89,203.64,reg,492409
FLT,2018-02-23,206.18,207.1157,False,203.25,204.53,reg,519085
FLT,2018-02-26,203.96,206.74,False,202.75,206.56,reg,547061
FLT,2018-02-27,201.32,204.97,False,200.88,204.33,reg,598527
FLT,2018-02-28,199.93,203.92,False,199.83,202.41,reg,510022
FLT,2018-03-01,199.75,201.365,False,197.29,200.11,reg,859051
FLT,2018-03-02,201.45,201.7,False,196.9,198.38,reg,527782
FLT,2018-03-05,203.7,205.54,False,199.78,201.0,reg,471250
FLT,2018-03-06,203.42,204.55,False,202.26,204.24,reg,394479
FLT,2018-03-07,205.16,205.94,False,200.83,200.87,reg,394024
FLT,2018-03-08,206.52,207.52,False,204.65,206.31,reg,362240
FLT,2018-03-09,209.4,210.94,False,206.82,207.64,reg,388783
FLT,2018-03-12,208.69,210.21,False,208.24,209.43,reg,283679
FLT,2018-03-13,207.8,210.0,False,206.21,210.0,reg,357224
FLT,2018-03-14,207.9,208.919,False,206.32,208.83,reg,431158
FLT,2018-03-15,206.78,208.889,False,205.98,208.0,reg,281743
FLT,2018-03-16,209.01,209.09,False,205.59,206.69,reg,336748
FLT,2018-03-19,205.13,208.3,False,202.83,208.3,reg,392989
FLT,2018-03-20,208.29,209.9,False,203.651,205.49,reg,372254
FLT,2018-03-21,208.64,211.87,False,208.366,210.41,reg,496865
FLT,2018-03-22,202.84,208.78,False,202.81,205.79,reg,576890
FLT,2018-03-23,198.23,204.39,False,198.03,202.53,reg,576874
FLT,2018-03-26,202.19,202.69,False,198.74,200.54,reg,447815
FLT,2018-03-27,198.61,203.9,False,197.99,203.44,reg,431885
FLT,2018-03-28,196.63,198.53,False,194.17,198.0,reg,412657
FLT,2018-03-29,202.5,202.8,False,196.88,197.6,reg,625224
FLT,2018-04-02,198.16,202.4,False,195.98,201.93,reg,476559
FLT,2018-04-03,199.13,200.27,False,196.835,199.09,reg,386752
FLT,2018-04-04,199.21,199.91,False,194.2,195.58,reg,408199
