symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
GOOGL,2017-09-01,951.99,958.33,False,950.28,957.47,reg,1042885
GOOGL,2017-09-05,941.48,951.3854,False,935.6,946.86,reg,1457378
GOOGL,2017-09-06,942.02,944.5,False,932.68,943.87,reg,1391529
GOOGL,2017-09-07,949.89,950.4965,False,937.53,944.25,reg,1116575
GOOGL,2017-09-08,941.41,950.7,False,940.01,949.7,reg,999916
GOOGL,2017-09-11,943.29,952.68,False,941.0,947.2,reg,1337365
GOOGL,2017-09-12,946.65,948.085,False,937.5,946.92,reg,1284787
GOOGL,2017-09-13,950.44,952.85,False,944.74,945.5,reg,1095382
GOOGL,2017-09-14,940.13,948.03,False,938.356,946.0,reg,1427379
GOOGL,2017-09-15,935.29,941.75,False,931.25,940.09,reg,1994265
GOOGL,2017-09-18,929.75,936.86,False,925.4,935.01,reg,1473651
GOOGL,2017-09-19,936.86,937.94,False,926.66,933.41,reg,1242726
GOOGL,2017-09-20,947.54,950.0,False,937.5,937.73,reg,2004018
GOOGL,2017-09-21,947.55,952.8,False,939.38,948.13,reg,1370685
GOOGL,2017-09-22,943.26,950.0,False,940.835,942.77,reg,1074806
GOOGL,2017-09-25,934.28,939.75,False,924.5101,939.45,reg,1873375
GOOGL,2017-09-26,937.43,944.08,False,935.12,936.69,reg,1672749
GOOGL,2017-09-27,959.9,965.43,False,941.95,942.74,reg,2334635
GOOGL,2017-09-28,964.81,966.18,False,955.55,956.25,reg,1400931
GOOGL,2017-09-29,973.72,975.81,False,966.0,966.0,reg,2031092
GOOGL,2017-10-02,967.47,977.74,False,961.95,975.65,reg,1539122
GOOGL,2017-10-03,972.08,972.44,False,962.705,967.56,reg,1083948
GOOGL,2017-10-04,966.78,974.4,False,965.61,971.76,reg,1057769
GOOGL,2017-10-05,985.19,986.5085,False,970.27,972.79,reg,1780946
GOOGL,2017-10-06,993.64,994.26,False,978.51,980.0,reg,1553033
GOOGL,2017-10-09,992.31,1000.46,False,991.5,995.0,reg,1295467
GOOGL,2017-10-10,987.8,997.47,False,981.11,995.3,reg,1163400
GOOGL,2017-10-11,1005.65,1007.565,False,987.94,989.04,reg,1814999
GOOGL,2017-10-12,1005.65,1011.5388,False,1001.1,1003.84,reg,1530664
GOOGL,2017-10-13,1007.87,1014.76,False,1007.06,1009.11,reg,1327632
GOOGL,2017-10-16,1009.35,1012.0,False,1001.52,1009.63,reg,1071023
GOOGL,2017-10-17,1011.0,1014.56,False,1006.05,1007.44,reg,1012998
GOOGL,2017-10-18,1012.74,1016.3091,False,1005.32,1011.05,reg,1279780
GOOGL,2017-10-19,1001.84,1007.322,False,997.3,1004.75,reg,1714243
GOOGL,2017-10-20,1005.07,1008.65,False,1002.27,1007.05,reg,1606031
GOOGL,2017-10-23,985.54,1005.7938,False,983.1,1005.18,reg,1639294
GOOGL,2017-10-24,988.49,989.26,False,977.08,986.5,reg,1445129
GOOGL,2017-10-25,991.46,994.43,False,977.722,986.27,reg,1528710
GOOGL,2017-10-26,991.42,1006.51,False,990.47,998.47,reg,2369838
GOOGL,2017-10-27,1033.67,1063.62,False,1026.85,1030.99,reg,5184143
GOOGL,2017-10-30,1033.13,1039.83,False,1022.33,1029.16,reg,2340172
GOOGL,2017-10-31,1033.04,1041.0,False,1026.295,1033.0,reg,1516278
GOOGL,2017-11-01,1042.595,1047.86,False,1034.0,1036.315,reg,2163073
GOOGL,2017-11-02,1042.97,1045.52,False,1028.66,1039.99,reg,1334697
GOOGL,2017-11-03,1049.99,1050.66,False,1037.65,1042.75,reg,1388461
GOOGL,2017-11-06,1042.68,1052.59,False,1042.0,1049.1,reg,914748
GOOGL,2017-11-07,1052.39,1053.41,False,1043.0,1049.65,reg,1305229
GOOGL,2017-11-08,1058.29,1062.691,False,1047.05,1050.05,reg,1214600
GOOGL,2017-11-09,1047.72,1050.88,False,1035.85,1048.0,reg,1794575
GOOGL,2017-11-10,1044.15,1046.63,False,1041.22,1043.87,reg,972127
GOOGL,2017-11-13,1041.2,1048.74,False,1039.26,1040.8,reg,940721
GOOGL,2017-11-14,1041.64,1042.3,False,1029.33,1037.72,reg,1050566
GOOGL,2017-11-15,1036.41,1039.63,False,1030.76,1035.0,reg,905262
GOOGL,2017-11-16,1048.47,1051.76,False,1038.0,1038.75,reg,1188392
GOOGL,2017-11-17,1035.89,1051.0,False,1033.73,1049.8,reg,1335610
GOOGL,2017-11-20,1034.66,1038.695,False,1032.675,1036.0,reg,876321
GOOGL,2017-11-21,1050.3,1050.39,False,1039.14,1040.04,reg,1110341
GOOGL,2017-11-22,1051.92,1055.43,False,1047.25,1051.16,reg,726898
GOOGL,2017-11-24,1056.52,1060.07,False,1051.92,1054.39,reg,825369
GOOGL,2017-11-27,1072.01,1073.035,False,1054.7713,1058.57,reg,1771491
GOOGL,2017-11-28,1063.29,1080.0,False,1054.54,1073.99,reg,1821171
GOOGL,2017-11-29,1037.38,1058.77,False,1029.6533,1056.18,reg,2793332
GOOGL,2017-11-30,1036.17,1044.1399,False,1030.07,1039.94,reg,2254590
GOOGL,2017-12-01,1025.07,1037.245,False,1016.9,1030.41,reg,1888081
GOOGL,2017-12-04,1011.87,1031.34,False,1009.22,1027.8,reg,1938861
