symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
HPE,2017-09-01,14.0123,14.0906,False,13.5325,13.836,reg,22355795
HPE,2017-09-05,13.7479,14.1004,False,13.5422,13.9045,reg,26755931
HPE,2017-09-06,13.4835,14.0221,False,13.317,13.9927,reg,40580268
HPE,2017-09-07,12.9743,13.4835,False,12.9743,13.4443,reg,27036825
HPE,2017-09-08,12.847,13.1065,False,12.7883,13.0125,reg,24308651
HPE,2017-09-11,13.0722,13.1897,False,12.9645,13.0233,reg,16505858
HPE,2017-09-12,12.9099,13.1952,False,12.782,13.146,reg,19397957
HPE,2017-09-13,13.0181,13.0378,False,12.7623,12.8705,reg,24975429
HPE,2017-09-14,13.2543,13.3133,False,12.9197,12.9689,reg,16071715
HPE,2017-09-15,13.3035,13.3428,False,13.1067,13.1559,reg,15605995
HPE,2017-09-18,13.3231,13.5003,False,13.2936,13.3527,reg,12586086
HPE,2017-09-19,13.274,13.4215,False,13.2543,13.3428,reg,10087546
HPE,2017-09-20,13.4117,13.4609,False,13.2838,13.3625,reg,17348043
HPE,2017-09-21,13.5691,13.6774,False,13.2936,13.3822,reg,22598605
HPE,2017-09-22,14.0316,14.0611,False,13.5987,13.638,reg,22932470
HPE,2017-09-25,14.4646,14.4843,False,13.9431,13.9627,reg,29532238
HPE,2017-09-26,14.6515,14.8385,False,14.4547,14.5039,reg,25926091
HPE,2017-09-27,14.6122,14.8778,False,14.5826,14.6515,reg,22027401
HPE,2017-09-28,14.3367,14.7007,False,14.3317,14.6023,reg,11473548
HPE,2017-09-29,14.4744,14.5138,False,14.3071,14.3662,reg,6736895
HPE,2017-10-02,14.7302,14.7598,False,14.4154,14.4449,reg,13719642
HPE,2017-10-03,14.4547,14.7472,False,14.3859,14.7302,reg,10203601
HPE,2017-10-04,14.563,14.6515,False,14.317,14.4646,reg,7636527
HPE,2017-10-05,14.5925,14.7204,False,14.5236,14.6023,reg,7074433
HPE,2017-10-06,14.563,14.6122,False,14.3465,14.5531,reg,11827338
HPE,2017-10-09,14.563,14.7302,False,14.5335,14.6023,reg,6254922
HPE,2017-10-10,14.7204,14.7893,False,14.5728,14.5826,reg,9359375
HPE,2017-10-11,14.7007,14.7991,False,14.6122,14.7007,reg,10469647
HPE,2017-10-12,14.563,14.7007,False,14.4941,14.6909,reg,8239166
HPE,2017-10-13,14.6515,14.8188,False,14.4055,14.4154,reg,9941508
HPE,2017-10-16,14.622,14.7204,False,14.5728,14.6417,reg,6351364
HPE,2017-10-17,14.376,14.6515,False,14.3121,14.6023,reg,12841083
HPE,2017-10-18,14.4646,14.563,False,14.4301,14.4351,reg,6831445
HPE,2017-10-19,13.638,14.2973,False,13.579,14.2678,reg,23836451
HPE,2017-10-20,13.8151,13.9578,False,13.579,13.6577,reg,12664357
HPE,2017-10-23,14.0218,14.0956,False,13.8348,13.8643,reg,8558384
HPE,2017-10-24,14.0808,14.2432,False,14.0021,14.0218,reg,8236556
HPE,2017-10-25,13.8545,14.0611,False,13.6577,14.0513,reg,15537270
HPE,2017-10-26,14.0218,14.0808,False,13.8545,13.9824,reg,7006971
HPE,2017-10-27,14.0513,14.1103,False,13.9529,14.0415,reg,7034055
HPE,2017-10-30,13.7561,14.0513,False,13.6872,14.0021,reg,11940097
