symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
IBM,2017-09-01,138.2191,138.622,False,137.1638,137.1638,reg,3351733
IBM,2017-09-05,137.2214,138.4853,False,136.8952,137.6627,reg,3097503
IBM,2017-09-06,137.9696,138.5932,False,137.6627,138.0272,reg,3273344
IBM,2017-09-07,137.0871,138.7563,False,136.61700000000002,138.2383,reg,4188158
IBM,2017-09-08,136.6554,137.3269,False,135.8783,137.3269,reg,3366169
IBM,2017-09-11,138.9673,139.2264,False,137.1926,137.701,reg,4613381
IBM,2017-09-12,139.8307,140.4159,False,138.6316,139.2072,reg,5238148
IBM,2017-09-13,140.0514,140.3392,False,139.4278,139.4374,reg,4100980
IBM,2017-09-14,139.6197,140.4255,False,139.5909,139.9267,reg,3756861
IBM,2017-09-15,138.929,139.2647,False,138.2191,138.929,reg,7397233
IBM,2017-09-18,138.6699,139.562,False,138.4013,138.9194,reg,3019514
IBM,2017-09-19,138.5165,139.0825,False,138.3534,138.9002,reg,3464383
IBM,2017-09-20,139.9458,139.9458,False,138.5452,139.0345,reg,5447519
IBM,2017-09-21,139.3511,139.9565,False,139.1976,139.7252,reg,2555596
IBM,2017-09-22,139.2264,139.6676,False,138.7083,139.6676,reg,2792323
IBM,2017-09-25,139.9363,140.0897,False,139.0153,139.2168,reg,5213144
IBM,2017-09-26,140.5982,141.4232,False,140.0034,140.4063,reg,4488620
IBM,2017-09-27,139.7348,140.9244,False,139.1304,140.7133,reg,3502736
IBM,2017-09-28,139.7348,139.9267,False,138.3438,139.4182,reg,2774788
IBM,2017-09-29,139.1784,139.7636,False,139.0249,139.5333,reg,2654731
IBM,2017-10-02,140.6941,140.8908,False,139.3031,139.4374,reg,2973224
IBM,2017-10-03,140.8092,141.2121,False,140.3871,140.7229,reg,2302724
IBM,2017-10-04,140.5214,141.0395,False,140.1665,141.0203,reg,2244433
IBM,2017-10-05,140.7517,141.5383,False,140.5214,140.7133,reg,2686539
IBM,2017-10-06,140.5214,140.8764,False,140.3679,140.6749,reg,2623184
IBM,2017-10-09,141.3944,141.7781,False,140.3967,140.5406,reg,2682556
IBM,2017-10-10,142.4593,142.891,False,141.6438,141.7014,reg,4032601
IBM,2017-10-11,141.6151,142.4305,False,141.2889,141.7973,reg,3702238
IBM,2017-10-12,141.0491,141.8741,False,140.7996,141.5575,reg,3264344
IBM,2017-10-13,141.1162,141.8357,False,140.9627,141.4808,reg,2506584
IBM,2017-10-16,140.8572,141.66299999999995,False,140.5502,141.2313,reg,3052091
IBM,2017-10-17,140.579,141.1354,False,140.2336,140.6653,reg,6372393
IBM,2017-10-18,153.0406,154.6714,False,150.5655,150.7286,reg,30490192
IBM,2017-10-19,154.3549,154.4124,False,152.6137,153.2996,reg,9914169
IBM,2017-10-20,155.4773,155.8706,False,153.2708,154.5179,reg,7868803
IBM,2017-10-23,153.0598,155.8994,False,153.0502,155.4581,reg,5779378
IBM,2017-10-24,149.5391,153.2037,False,148.8589,153.1557,reg,8194690
IBM,2017-10-25,147.2559,150.0091,False,146.8338,149.6638,reg,6921137
IBM,2017-10-26,147.3518,148.81,False,147.2942,148.0329,reg,4300543
IBM,2017-10-27,147.4286,148.3399,False,146.6908,148.2536,reg,4895186
IBM,2017-10-30,148.0809,148.3015,False,146.498,147.5053,reg,4210402
IBM,2017-10-31,147.7931,148.6277,False,146.7091,148.0521,reg,4328258
IBM,2017-11-01,147.7643,148.5989,False,147.5725,147.8315,reg,3240246
IBM,2017-11-02,147.112,148.2056,False,146.6899,147.9082,reg,3397628
IBM,2017-11-03,145.414,147.2271,False,145.3276,147.1791,reg,4431825
IBM,2017-11-06,144.7041,145.6442,False,144.1669,145.5962,reg,4498871
IBM,2017-11-07,145.1933,145.3468,False,144.3779,145.2125,reg,3701052
IBM,2017-11-08,145.4044,145.6197,False,144.1669,145.4332,reg,4634439
IBM,2017-11-09,145.6272,147.0806,False,145.2009,145.2687,reg,4776532
IBM,2017-11-10,144.5227,146.1989,False,144.5033,145.9664,reg,4307276
IBM,2017-11-13,143.7863,144.3677,False,143.3212,144.2514,reg,5107546
IBM,2017-11-14,144.2611,144.3386,False,142.9046,143.3503,reg,3757951
IBM,2017-11-15,142.5267,144.0818,False,141.6654,143.3987,reg,4773328
IBM,2017-11-16,144.4839,144.9974,False,142.9143,143.1371,reg,5446453
IBM,2017-11-17,144.3386,145.4819,False,144.2029,144.6971,reg,4916500
IBM,2017-11-20,145.8307,147.2259,False,145.2397,145.9567,reg,5676495
IBM,2017-11-21,147.2259,147.7104,False,146.4993,146.5961,reg,3756184
IBM,2017-11-22,147.0515,147.6523,False,146.6252,147.2744,reg,3213596
IBM,2017-11-24,147.1194,147.4682,False,146.6252,147.2259,reg,1193025
IBM,2017-11-27,147.255,147.7491,False,146.9062,147.3325,reg,3374042
IBM,2017-11-28,147.7298,148.1755,False,146.9837,147.6135,reg,3973670
IBM,2017-11-29,148.7762,148.8343,False,147.4391,148.0592,reg,5098702
IBM,2017-11-30,149.1831,149.6095,False,148.3208,148.8731,reg,6500769
IBM,2017-12-01,149.9486,150.2005,False,148.1585,149.5998,reg,5567852
IBM,2017-12-04,151.5957,151.9252,False,150.2489,151.111,reg,4664316
IBM,2017-12-05,150.5202,151.86700000000005,False,149.8711,151.586,reg,5068043
IBM,2017-12-06,149.3091,151.3632,False,149.2994,149.3091,reg,3410728
IBM,2017-12-07,148.7956,149.6482,False,148.4952,148.8149,reg,3771429
IBM,2017-12-08,149.997,150.2102,False,148.7762,149.997,reg,3520281
IBM,2017-12-11,150.5784,151.0434,False,149.7645,150.622,reg,4102719
IBM,2017-12-12,151.86700000000005,152.9425,False,150.3361,151.86700000000005,reg,6321801
IBM,2017-12-13,149.125,151.8573,False,149.1056,151.7314,reg,5661618
IBM,2017-12-14,149.2122,150.2877,False,148.9215,149.7935,reg,4637440
IBM,2017-12-15,147.7588,149.0184,False,147.3034,148.8343,reg,11279854
IBM,2017-12-18,148.563,149.3866,False,148.4468,148.8149,reg,5092838
IBM,2017-12-19,148.4661,149.3769,False,148.3305,149.2606,reg,4116449
IBM,2017-12-20,148.1948,149.1056,False,148.0301,148.8731,reg,3785667
IBM,2017-12-21,146.7899,148.689,False,146.7802,148.408,reg,4153935
IBM,2017-12-22,147.7588,148.2433,False,146.7899,147.1,reg,2990583
IBM,2017-12-26,148.0786,149.0766,False,147.7588,147.7685,reg,2479017
IBM,2017-12-27,148.3693,148.4177,False,147.8654,148.1948,reg,2149257
IBM,2017-12-28,149.251,149.3285,False,148.4371,148.4371,reg,2687624
IBM,2017-12-29,148.6502,149.9098,False,148.6454,149.3769,reg,3327087
IBM,2018-01-02,149.4544,149.997,False,148.7665,149.6967,reg,4202503
IBM,2018-01-03,153.5626,154.8416,False,151.4698,152.4484,reg,9441567
IBM,2018-01-04,156.6728,157.2771,False,154.4153,154.6865,reg,7556249
IBM,2018-01-05,157.4383,157.8355,False,156.0924,157.3898,reg,5195764
IBM,2018-01-08,158.3878,158.8093,False,156.6738,157.60299999999995,reg,5237523
IBM,2018-01-09,158.7366,159.4148,False,157.9905,158.8044,reg,4341810
IBM,2018-01-10,159.0757,159.221,False,157.4479,157.8452,reg,4174105
IBM,2018-01-11,159.0951,159.8121,False,158.2231,159.6764,reg,3794453
IBM,2018-01-12,158.06799999999996,159.6183,False,157.9615,158.9207,reg,5031886
IBM,2018-01-16,158.756,160.1512,False,158.2715,159.9671,reg,7794195
IBM,2018-01-17,163.4067,163.8673,False,162.06,162.7866,reg,11710033
IBM,2018-01-18,163.8621,165.8096,False,162.9223,164.7148,reg,14259345
IBM,2018-01-19,157.322,160.2578,False,156.2852,159.347,reg,21172488
IBM,2018-01-22,157.5448,158.8819,False,156.1012,156.4887,reg,8480795
IBM,2018-01-23,161.0814,161.091,False,157.4576,157.75799999999995,reg,7466232
IBM,2018-01-24,160.2287,163.4746,False,159.6958,161.5658,reg,5645003
IBM,2018-01-25,160.3256,161.5949,False,160.0543,160.7519,reg,3302520
IBM,2018-01-26,162.1375,162.2094,False,160.6357,160.9554,reg,3787913
IBM,2018-01-29,161.6143,163.1548,False,160.8488,162.244,reg,3516995
IBM,2018-01-30,158.5331,161.5852,False,158.0826,161.0426,reg,4902341
