symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
L,2017-09-01,46.6763,46.8156,False,46.338,46.4474,reg,769931
L,2017-09-05,45.6116,46.527,False,45.4554,46.4773,reg,1669854
L,2017-09-06,45.9399,46.2235,False,45.5917,45.7807,reg,908191
L,2017-09-07,44.8952,45.93,False,44.8454,45.93,reg,928010
L,2017-09-08,45.7409,45.9449,False,44.7857,44.7957,reg,1175290
L,2017-09-11,46.4972,46.8653,False,46.1787,46.2484,reg,882392
L,2017-09-12,46.6464,46.7758,False,46.4574,46.5668,reg,1164795
L,2017-09-13,46.925,47.1141,False,46.4076,46.5768,reg,1184922
L,2017-09-14,46.9847,47.124,False,46.7061,46.8753,reg,890606
L,2017-09-15,47.2534,47.2633,False,46.7559,46.8156,reg,1298263
L,2017-09-18,47.2633,47.4126,False,47.1141,47.3529,reg,890815
L,2017-09-19,47.4524,47.5519,False,47.1638,47.2633,reg,888008
L,2017-09-20,47.5519,47.6315,False,47.2534,47.5718,reg,765463
L,2017-09-21,47.4723,47.8106,False,47.4524,47.5817,reg,702060
L,2017-09-22,47.3728,47.4225,False,47.2335,47.3927,reg,665831
L,2017-09-25,47.5519,47.6116,False,47.2534,47.3827,reg,639831
L,2017-09-26,47.6414,47.8106,False,47.3529,47.522,reg,637201
L,2017-09-27,47.6016,47.9001,False,47.4126,47.9001,reg,650719
L,2017-09-28,47.6016,47.6812,False,47.2235,47.5817,reg,616174
L,2017-09-29,47.6215,47.731,False,47.4673,47.5021,reg,802273
L,2017-10-02,47.8802,47.9001,False,47.4026,47.6215,reg,648385
L,2017-10-03,48.1588,48.1588,False,47.7807,47.92,reg,448335
L,2017-10-04,48.2981,48.4772,False,48.0494,48.0892,reg,672779
L,2017-10-05,48.6563,48.7907,False,48.2285,48.31800000000001,reg,493068
L,2017-10-06,48.6762,48.7757,False,48.3479,48.6961,reg,571234
L,2017-10-09,48.31800000000001,48.7558,False,48.2185,48.726000000000006,reg,377093
L,2017-10-10,48.7061,48.726000000000006,False,48.328,48.328,reg,598050
L,2017-10-11,48.4573,48.5668,False,48.2285,48.4474,reg,457988
L,2017-10-12,48.6165,48.6562,False,48.2384,48.3777,reg,821497
L,2017-10-13,48.6066,48.9747,False,48.5369,48.6862,reg,458312
L,2017-10-16,48.8155,48.8653,False,48.4276,48.6464,reg,810982
L,2017-10-17,48.4175,48.8454,False,48.2733,48.8255,reg,550029
L,2017-10-18,48.4474,48.6066,False,48.31800000000001,48.4971,reg,594183
L,2017-10-19,48.7359,48.7359,False,48.2882,48.3578,reg,709633
L,2017-10-20,48.7558,49.0643,False,48.6165,49.0444,reg,601400
L,2017-10-23,48.4573,48.8951,False,48.3877,48.8951,reg,634894
L,2017-10-24,48.2683,48.5767,False,48.1489,48.4573,reg,833885
L,2017-10-25,48.0096,48.3777,False,47.7907,48.1887,reg,743575
L,2017-10-26,48.129,48.2683,False,47.93,48.1986,reg,842915
L,2017-10-27,47.7111,48.0792,False,47.4822,48.0096,reg,1158794
L,2017-10-30,49.2136,49.2633,False,47.8802,48.2683,reg,2230645
L,2017-10-31,49.2633,49.323,False,48.7932,49.0543,reg,3330243
L,2017-11-01,49.2932,49.5021,False,49.1738,49.3529,reg,2417193
L,2017-11-02,49.2534,49.6812,False,49.0742,49.3628,reg,1238915
L,2017-11-03,49.3628,49.4723,False,48.5568,49.0543,reg,901253
L,2017-11-06,49.4325,49.532,False,49.2434,49.2434,reg,1579189
L,2017-11-07,49.2434,49.7409,False,49.124,49.4822,reg,888636
L,2017-11-08,49.333,49.4325,False,49.1787,49.2434,reg,800153
L,2017-11-09,49.0941,49.3529,False,48.9051,49.0643,reg,1306119
L,2017-11-10,49.2633,49.323,False,48.9747,49.1041,reg,874225
L,2017-11-13,49.6414,49.7111,False,49.054,49.114,reg,1182887
L,2017-11-14,49.6912,49.7111,False,49.114,49.3628,reg,1083321
L,2017-11-15,49.4424,49.5419,False,49.2136,49.4424,reg,1193974
L,2017-11-16,48.9548,49.5718,False,48.9349,49.5419,reg,981135
L,2017-11-17,48.9747,49.1041,False,48.7161,48.7857,reg,1027110
L,2017-11-20,49.1041,49.1638,False,48.7757,48.9349,reg,717345
L,2017-11-21,49.1339,49.532,False,49.114,49.2136,reg,902013
L,2017-11-22,49.114,49.4822,False,49.0643,49.1738,reg,831104
L,2017-11-24,49.1041,49.4772,False,49.0444,49.3031,reg,356144
L,2017-11-27,49.4126,49.5121,False,49.1339,49.1937,reg,789523
L,2017-11-28,49.9231,49.9331,False,49.415,49.4748,reg,1132721
L,2017-11-29,50.1423,50.50100000000001,False,49.9331,49.9929,reg,1044526
L,2017-11-30,50.0925,50.4711,False,49.8933,50.3416,reg,1447808
L,2017-12-01,50.3017,50.4113,False,49.2258,50.2718,reg,1002441
L,2017-12-04,50.4611,50.8298,False,50.3864,50.5309,reg,1281803
L,2017-12-05,49.9231,50.5807,False,49.9132,50.50100000000001,reg,869039
L,2017-12-06,49.7737,50.0128,False,49.7339,49.8833,reg,557742
L,2017-12-07,49.8036,49.9231,False,49.5844,49.684,reg,830654
L,2017-12-08,49.6542,49.9431,False,49.5446,49.9431,reg,1130237
L,2017-12-11,49.8634,50.0228,False,49.6542,49.6542,reg,1550972
L,2017-12-12,50.1324,50.3017,False,49.8235,50.1324,reg,1077933
L,2017-12-13,49.7139,50.2021,False,49.684,50.0726,reg,975855
L,2017-12-14,49.2656,49.9829,False,49.2058,49.8235,reg,1124512
L,2017-12-15,49.5645,49.9032,False,49.4051,49.5346,reg,2258092
L,2017-12-18,49.7936,50.1324,False,49.5695,49.70399999999999,reg,998805
L,2017-12-19,49.4549,50.0327,False,49.4449,49.973,reg,1078385
L,2017-12-20,49.3254,49.7637,False,49.2806,49.6243,reg,1007156
L,2017-12-21,49.6043,49.7837,False,49.425,49.425,reg,661078
L,2017-12-22,49.4748,49.8136,False,49.3553,49.7538,reg,809623
L,2017-12-26,49.7339,49.8335,False,49.6143,49.6143,reg,512444
L,2017-12-27,49.8136,49.8534,False,49.6741,49.684,reg,676611
L,2017-12-28,49.953,50.0028,False,49.7538,49.973,reg,821926
L,2017-12-29,49.8434,50.1124,False,49.8136,50.0128,reg,989559
L,2018-01-02,49.70399999999999,50.0626,False,49.4947,50.0527,reg,1105649
L,2018-01-03,50.2818,50.3914,False,49.7239,49.7239,reg,1111528
L,2018-01-04,50.5309,50.8248,False,50.2918,50.4113,reg,1159728
L,2018-01-05,50.4312,50.75,False,50.3416,50.6703,reg,1089203
L,2018-01-08,50.3914,50.5608,False,50.1822,50.3017,reg,1166225
