symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
MMM,2017-09-01,198.6517,199.9691,False,198.3296,199.6764,reg,1413014
MMM,2017-09-05,196.1339,197.6465,False,195.6752,197.3733,reg,1934515
MMM,2017-09-06,197.1781,197.3733,False,196.3876,196.8853,reg,2236180
MMM,2017-09-07,199.53,199.7739,False,196.6121,196.6121,reg,1701542
MMM,2017-09-08,200.7303,201.1499,False,198.2613,199.4226,reg,1473989
MMM,2017-09-11,204.507,204.7168,False,201.1207,201.4817,reg,1806743
MMM,2017-09-12,204.5851,205.8732,False,204.2142,204.8486,reg,1441453
MMM,2017-09-13,204.4387,205.2194,False,203.5409,204.0776,reg,1129646
MMM,2017-09-14,206.3319,206.8003,False,203.7068,204.1069,reg,1984226
MMM,2017-09-15,208.2056,208.9522,False,205.5805,207.4639,reg,3636437
MMM,2017-09-18,208.6057,208.877,False,207.4444,208.8399,reg,1272436
MMM,2017-09-19,208.4106,209.4743,False,207.7177,209.0644,reg,1429651
MMM,2017-09-20,205.4341,207.4737,False,203.2871,206.6637,reg,2987210
MMM,2017-09-21,205.3658,206.5173,False,205.1706,205.8147,reg,1382444
MMM,2017-09-22,205.6781,206.205,False,204.2338,204.5851,reg,1493283
MMM,2017-09-25,205.6488,206.127,False,204.3216,205.8928,reg,1609155
MMM,2017-09-26,205.9416,207.6982,False,205.844,206.166,reg,1224628
MMM,2017-09-27,204.4289,206.2831,False,203.1408,206.0001,reg,1865144
MMM,2017-09-28,204.4972,204.8193,False,203.2304,203.2774,reg,2092803
MMM,2017-09-29,204.8388,204.8388,False,203.697,204.0191,reg,1632249
MMM,2017-10-02,207.6298,207.6591,False,204.9657,205.6488,reg,1292105
MMM,2017-10-03,209.3962,209.4255,False,206.2831,207.4932,reg,1634888
MMM,2017-10-04,211.2992,211.7091,False,209.3279,209.6694,reg,1636447
MMM,2017-10-05,211.1528,212.3629,False,210.6943,211.2699,reg,1740484
MMM,2017-10-06,211.2992,211.3187,False,210.0793,210.7917,reg,1650834
MMM,2017-10-09,211.4553,211.9725,False,210.4892,210.7527,reg,1054620
MMM,2017-10-10,211.5236,212.3531,False,211.3285,212.1384,reg,1171324
MMM,2017-10-11,211.2894,211.631,False,209.484,209.7573,reg,2052903
MMM,2017-10-12,212.3434,212.3922,False,211.0747,211.3772,reg,1907960
MMM,2017-10-13,212.4702,214.4611,False,211.5724,213.5535,reg,1461703
MMM,2017-10-16,213.4461,213.4559,False,211.9628,212.4507,reg,1185228
MMM,2017-10-17,212.4995,213.4461,False,211.2504,213.2217,reg,2150810
MMM,2017-10-18,213.007,213.3681,False,212.1287,212.2751,reg,1413913
MMM,2017-10-19,213.9536,213.9634,False,212.2263,213.2217,reg,1369000
MMM,2017-10-20,215.9834,215.9834,False,213.9048,214.6465,reg,1647816
MMM,2017-10-23,216.2079,217.4082,False,215.8663,216.4128,reg,2161339
MMM,2017-10-24,228.992,233.1395,False,223.4685,223.4783,reg,6508396
MMM,2017-10-25,231.949,232.2027,False,228.2991,229.3433,reg,4114532
MMM,2017-10-26,227.3233,233.042,False,226.7084,232.515,reg,3384956
MMM,2017-10-27,229.0799,229.2848,False,226.9427,228.5821,reg,2000365
MMM,2017-10-30,225.4495,228.0259,False,225.0787,228.0259,reg,2722556
MMM,2017-10-31,224.6396,226.0131,False,224.2687,225.8009,reg,1908157
MMM,2017-11-01,224.6298,226.1717,False,223.5856,225.43,reg,1389916
MMM,2017-11-02,226.6304,227.1866,False,224.015,224.6884,reg,1609484
MMM,2017-11-03,226.6206,226.9719,False,225.352,225.9765,reg,1582704
MMM,2017-11-06,224.7567,227.0207,False,224.6005,226.6206,reg,1334883
MMM,2017-11-07,224.5029,225.2056,False,223.6149,224.825,reg,1553571
MMM,2017-11-08,224.2882,225.0885,False,223.8491,224.298,reg,1510323
MMM,2017-11-09,222.883,223.8686,False,221.5753,223.0293,reg,1575764
MMM,2017-11-10,221.9656,222.9318,False,220.7067,221.9851,reg,1295822
MMM,2017-11-13,222.7171,222.922,False,220.8043,221.263,reg,1765322
MMM,2017-11-14,223.8003,224.4151,False,221.2825,222.639,reg,1393185
MMM,2017-11-15,221.9168,223.0001,False,220.5896,222.5707,reg,1512124
MMM,2017-11-16,223.8881,224.4444,False,222.2974,222.2974,reg,1225143
MMM,2017-11-17,223.8296,224.3761,False,222.2486,222.922,reg,1741844
MMM,2017-11-20,225.9082,227.9576,False,224.0192,224.3566,reg,1699956
MMM,2017-11-21,228.4455,230.0265,False,226.6109,226.6109,reg,2122633
MMM,2017-11-22,227.1361,229.3724,False,226.9596,228.5877,reg,1371820
MMM,2017-11-24,226.94,227.5873,False,226.3809,227.5775,reg,659116
MMM,2017-11-27,229.5097,230.0285,False,226.6948,227.3029,reg,1780831
MMM,2017-11-28,231.1084,231.4125,False,228.8967,229.6274,reg,1871691
MMM,2017-11-29,233.4428,233.6193,False,231.1182,231.5204,reg,1754594
MMM,2017-11-30,238.4743,238.7784,False,233.1289,234.2764,reg,4003388
MMM,2017-12-01,236.5225,238.9549,False,234.5609,238.5234,reg,2232292
MMM,2017-12-04,234.6688,239.5434,False,233.9332,238.386,reg,2468747
MMM,2017-12-05,233.688,235.6496,False,233.2956,235.6103,reg,1543909
MMM,2017-12-06,234.0901,236.4538,False,232.4227,235.7148,reg,1924077
MMM,2017-12-07,235.6888,236.6598,False,233.3643,233.8743,reg,1367330
MMM,2017-12-08,233.5605,236.3852,False,232.9327,235.3946,reg,1999835
MMM,2017-12-11,234.708,235.6005,False,233.2956,234.6001,reg,1742882
MMM,2017-12-12,232.0402,237.0423,False,231.58900000000003,232.0402,reg,2766340
MMM,2017-12-13,234.5216,234.9924,False,232.0892,232.3639,reg,2707874
MMM,2017-12-14,233.5114,236.1792,False,233.2466,235.7084,reg,1984720
MMM,2017-12-15,233.4329,235.0807,False,233.0897,234.6001,reg,4518734
MMM,2017-12-18,233.8449,235.4044,False,232.5944,234.0018,reg,2237313
MMM,2017-12-19,233.8155,235.1396,False,232.3541,234.8747,reg,1868916
MMM,2017-12-20,232.3737,233.8939,False,231.9519,233.6291,reg,1621646
MMM,2017-12-21,230.2747,232.6973,False,229.9118,231.4713,reg,2241586
MMM,2017-12-22,230.2257,231.5498,False,229.7843,230.8436,reg,1280557
MMM,2017-12-26,230.9319,231.746,False,230.5199,230.569,reg,789090
MMM,2017-12-27,231.6675,232.001,False,230.3336,231.0005,reg,970508
MMM,2017-12-28,231.1967,232.5306,False,230.7651,232.3933,reg,1189738
MMM,2017-12-29,230.8534,232.7562,False,230.8534,231.9421,reg,1343878
MMM,2018-01-02,231.1182,232.5208,False,228.3376,231.2555,reg,2930951
MMM,2018-01-03,231.1084,231.2065,False,228.8133,230.5592,reg,2193713
MMM,2018-01-04,234.1293,234.8453,False,231.9323,232.4521,reg,2243101
MMM,2018-01-05,235.9536,236.2773,False,233.1779,234.0705,reg,1835909
MMM,2018-01-08,235.1886,236.3165,False,234.5903,234.7865,reg,1869025
MMM,2018-01-09,236.65,237.1448,False,234.7472,235.0022,reg,1695114
MMM,2018-01-10,236.5127,237.9153,False,235.424,236.3754,reg,1640853
MMM,2018-01-11,237.6602,237.6897,False,235.1494,236.1204,reg,1487650
MMM,2018-01-12,239.7788,241.2794,False,237.8466,238.4057,reg,1974312
MMM,2018-01-16,240.0436,242.4466,False,239.1511,240.5929,reg,2411131
MMM,2018-01-17,243.3489,243.7609,False,241.0833,242.1131,reg,2519000
MMM,2018-01-18,241.1912,244.2219,False,240.2202,243.3686,reg,2233505
MMM,2018-01-19,243.4176,243.7315,False,240.8871,241.8973,reg,2013467
MMM,2018-01-22,242.5545,243.1332,False,240.3771,242.3877,reg,1660506
MMM,2018-01-23,241.5835,242.5153,False,240.4163,242.172,reg,1822654
MMM,2018-01-24,242.937,243.7707,False,241.5246,243.2312,reg,3471044
MMM,2018-01-25,247.5174,249.9106,False,242.3583,245.2027,reg,3507873
MMM,2018-01-26,253.6671,254.7852,False,248.5276,248.5669,reg,3730628
MMM,2018-01-29,251.0973,254.3634,False,251.0581,253.5494,reg,2306292
MMM,2018-01-30,246.7131,250.7835,False,246.5856,250.6952,reg,2412632
MMM,2018-01-31,245.6931,248.2726,False,244.8103,246.6641,reg,3136406
