symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
NTRS,2017-09-01,87.8868,88.3413,False,87.383,87.6003,reg,640253
NTRS,2017-09-05,85.4664,87.5096,False,85.2787,87.2546,reg,1341094
NTRS,2017-09-06,85.5454,86.2864,False,84.6563,85.9999,reg,1274265
NTRS,2017-09-07,85.7924,86.1876,False,84.7847,85.8122,reg,2000920
NTRS,2017-09-08,87.3929,88.28200000000002,False,85.9604,86.4049,reg,1392630
NTRS,2017-09-11,88.9439,89.3292,False,87.6398,88.1931,reg,1292561
NTRS,2017-09-12,89.4774,90.5246,False,89.0328,89.3687,reg,1237468
NTRS,2017-09-13,87.2052,88.4401,False,85.9011,88.1338,reg,2401840
NTRS,2017-09-14,86.7507,87.3533,False,86.56299999999996,86.889,reg,1507090
NTRS,2017-09-15,86.8989,87.4126,False,86.3061,86.6815,reg,1338815
NTRS,2017-09-18,87.4719,87.8572,False,86.9681,87.2447,reg,1001428
NTRS,2017-09-19,87.5114,87.9856,False,87.2744,87.6991,reg,1026149
NTRS,2017-09-20,88.5981,88.8748,False,87.2348,87.7979,reg,1053293
NTRS,2017-09-21,89.7442,89.8578,False,88.3314,88.4006,reg,1325708
NTRS,2017-09-22,89.3292,89.9417,False,89.0328,89.34899999999998,reg,695338
NTRS,2017-09-25,88.3116,89.2601,False,87.8177,89.0921,reg,868705
NTRS,2017-09-26,88.7859,89.2403,False,87.9757,88.3413,reg,1179768
NTRS,2017-09-27,90.574,91.1273,False,89.675,89.675,reg,1084204
NTRS,2017-09-28,90.821,90.9099,False,90.1788,90.7123,reg,573353
NTRS,2017-09-29,90.821,91.5224,False,90.5147,90.8902,reg,545253
NTRS,2017-10-02,91.3841,91.5027,False,90.4653,90.7025,reg,805605
NTRS,2017-10-03,91.2755,91.315,False,90.3369,91.2853,reg,1140507
NTRS,2017-10-04,90.5543,91.5027,False,90.5049,91.1174,reg,764224
NTRS,2017-10-05,91.8485,92.2239,False,90.6432,90.7518,reg,744851
NTRS,2017-10-06,92.1448,92.8759,False,91.315,91.8583,reg,1995336
NTRS,2017-10-09,91.5323,92.2855,False,91.2063,92.1745,reg,685981
NTRS,2017-10-10,92.1448,92.5104,False,91.4632,91.9275,reg,771492
NTRS,2017-10-11,92.5993,92.708,False,91.4928,91.9966,reg,945478
NTRS,2017-10-12,92.2239,93.3402,False,92.1399,92.8166,reg,923946
NTRS,2017-10-13,91.8682,92.4807,False,91.0779,91.9769,reg,1126563
NTRS,2017-10-16,90.8111,92.1053,False,90.4555,91.888,reg,1747359
NTRS,2017-10-17,90.001,91.1371,False,89.9615,90.9,reg,2755848
NTRS,2017-10-18,93.439,95.247,False,90.9494,93.854,reg,5225122
NTRS,2017-10-19,93.8342,94.9308,False,92.8265,93.3501,reg,1719505
NTRS,2017-10-20,94.1207,95.0395,False,93.8885,94.7727,reg,1579078
NTRS,2017-10-23,94.259,94.7925,False,93.4884,94.3776,reg,985336
NTRS,2017-10-24,95.2865,95.6817,False,94.2689,94.6937,reg,1114380
NTRS,2017-10-25,93.6169,95.9385,False,92.3424,95.4149,reg,1310942
NTRS,2017-10-26,94.3677,95.0593,False,91.888,93.9231,reg,954524
NTRS,2017-10-27,93.5675,94.585,False,93.4292,94.2393,reg,1101317
NTRS,2017-10-30,93.5082,94.2195,False,92.5894,92.9154,reg,818469
NTRS,2017-10-31,92.3918,93.6366,False,92.2535,93.3007,reg,960568
NTRS,2017-11-01,92.2831,93.5082,False,92.2535,92.7969,reg,859631
NTRS,2017-11-02,92.8759,93.3995,False,92.0757,92.1152,reg,1417995
NTRS,2017-11-03,93.2513,93.3995,False,92.2831,92.7475,reg,1074724
NTRS,2017-11-06,93.0834,93.4193,False,92.866,92.866,reg,607869
NTRS,2017-11-07,91.2952,93.5773,False,91.1668,93.0439,reg,752699
NTRS,2017-11-08,91.7497,92.1448,False,90.742,91.3545,reg,829125
NTRS,2017-11-09,91.0482,92.0065,False,90.0998,91.1964,reg,550037
NTRS,2017-11-10,91.394,91.9571,False,90.5641,90.9692,reg,852545
NTRS,2017-11-13,91.3446,91.5422,False,90.3567,90.4752,reg,878945
NTRS,2017-11-14,91.5224,91.7892,False,90.8704,91.1371,reg,891323
NTRS,2017-11-15,92.1547,92.4116,False,90.574,90.9297,reg,1001930
NTRS,2017-11-16,92.5795,93.5279,False,92.1053,92.3424,reg,1026092
NTRS,2017-11-17,92.9352,93.5033,False,92.135,92.1448,reg,1067158
NTRS,2017-11-20,93.2908,93.439,False,92.7672,93.3205,reg,613359
NTRS,2017-11-21,93.3205,93.7848,False,92.9253,93.3798,reg,954020
NTRS,2017-11-22,93.2513,93.9528,False,93.2316,93.4292,reg,482419
NTRS,2017-11-24,93.1229,93.7848,False,92.7178,93.6465,reg,272879
NTRS,2017-11-27,92.9747,94.012,False,92.7475,93.0537,reg,728178
NTRS,2017-11-28,95.1284,95.2074,False,92.9451,93.2316,reg,1083292
NTRS,2017-11-29,97.0549,97.786,False,95.5335,95.8101,reg,1278320
NTRS,2017-11-30,97.0152,98.2951,False,96.7076,97.4914,reg,1343649
NTRS,2017-12-01,96.8961,97.6899,False,94.8721,97.3625,reg,1243946
NTRS,2017-12-04,98.176,98.8805,False,97.3228,97.9379,reg,1011432
NTRS,2017-12-05,96.1917,98.6424,False,95.6261,98.6424,reg,1164698
NTRS,2017-12-06,95.7452,96.4993,False,95.5071,96.0131,reg,627220
NTRS,2017-12-07,96.5588,96.8068,False,95.1896,95.3682,reg,705378
NTRS,2017-12-08,96.9656,97.1343,False,96.2016,96.916,reg,646986
