symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
PYPL,2017-09-01,61.46,62.23,False,61.3831,61.98,reg,3440389
PYPL,2017-09-05,61.27,61.75,False,60.58,61.26,reg,5501176
PYPL,2017-09-06,61.24,61.99,False,60.9,61.74,reg,5350878
PYPL,2017-09-07,62.0,62.13,False,61.28,61.33,reg,5022747
PYPL,2017-09-08,61.13,62.0,False,61.1,61.94,reg,4942551
PYPL,2017-09-11,62.64,63.26,False,61.62,61.73,reg,8266266
PYPL,2017-09-12,62.56,63.12,False,62.15,62.95,reg,6276588
PYPL,2017-09-13,62.04,62.75,False,61.58,62.47,reg,6380899
PYPL,2017-09-14,62.24,62.37,False,61.71,62.04,reg,5697762
PYPL,2017-09-15,62.5,62.8,False,61.96,62.27,reg,9940945
PYPL,2017-09-18,62.92,63.5299,False,62.52,62.62,reg,7688047
PYPL,2017-09-19,63.83,63.925,False,62.96,63.01,reg,7773975
PYPL,2017-09-20,64.74,64.87,False,63.83,63.99,reg,11903623
PYPL,2017-09-21,64.63,64.95,False,63.905,64.67,reg,6727318
PYPL,2017-09-22,65.08,65.24,False,64.11,64.33,reg,6743757
PYPL,2017-09-25,63.5,65.0,False,62.365,65.0,reg,13156910
PYPL,2017-09-26,62.94,63.7623,False,62.84,63.71,reg,8551871
PYPL,2017-09-27,63.33,63.75,False,63.1601,63.41,reg,7380726
PYPL,2017-09-28,63.93,64.055,False,63.11,63.62,reg,4147985
PYPL,2017-09-29,64.03,64.17,False,63.5,63.86,reg,6891295
PYPL,2017-10-02,64.18,65.12,False,64.1,64.5,reg,5163335
PYPL,2017-10-03,64.22,64.51,False,63.7607,64.51,reg,5633112
PYPL,2017-10-04,64.01,64.3,False,63.69,64.3,reg,4438833
PYPL,2017-10-05,65.82,66.0,False,64.22,64.38,reg,7445661
PYPL,2017-10-06,66.05,66.41,False,65.79,66.0,reg,6122368
PYPL,2017-10-09,66.23,66.55,False,65.9,66.2,reg,5517941
PYPL,2017-10-10,66.04,66.67,False,65.79,66.6,reg,5831798
PYPL,2017-10-11,67.78,68.42,False,66.98,67.25,reg,12005648
PYPL,2017-10-12,68.86,68.98,False,67.8048,68.02,reg,8888300
PYPL,2017-10-13,68.66,69.61,False,68.0,69.49,reg,8640690
PYPL,2017-10-16,67.31,69.2,False,67.28,69.04,reg,9581821
PYPL,2017-10-17,66.67,67.67,False,66.35,67.65,reg,10843963
PYPL,2017-10-18,67.26,67.5,False,67.0,67.4,reg,8076433
PYPL,2017-10-19,67.25,67.45,False,66.16,67.3,reg,14546383
PYPL,2017-10-20,70.97,71.73,False,69.69,71.33,reg,34282802
PYPL,2017-10-23,69.8,71.33,False,69.55,71.02,reg,12232484
PYPL,2017-10-24,70.21,70.565,False,69.67,69.73,reg,12280444
PYPL,2017-10-25,71.02,71.42,False,69.85,69.94,reg,12755811
PYPL,2017-10-26,71.34,72.07,False,71.04,71.46,reg,8015095
PYPL,2017-10-27,71.06,71.79,False,70.58,71.72,reg,9256556
PYPL,2017-10-30,71.15,71.54,False,70.53,71.45,reg,7215987
PYPL,2017-10-31,72.56,72.74,False,71.11,71.34,reg,7555330
PYPL,2017-11-01,72.38,72.99,False,71.69,72.78,reg,6655600
PYPL,2017-11-02,72.25,72.7755,False,72.01,72.46,reg,4535638
PYPL,2017-11-03,73.39,73.41,False,71.94,72.37,reg,6726393
PYPL,2017-11-06,74.74,74.76,False,73.42,73.72,reg,10156293
PYPL,2017-11-07,74.41,75.45,False,74.19,75.17,reg,7026585
PYPL,2017-11-08,74.77,75.0,False,73.31,74.0,reg,7593063
PYPL,2017-11-09,74.1,74.2,False,72.41,74.02,reg,8875485
PYPL,2017-11-10,73.99,74.14,False,73.56,73.77,reg,5714571
PYPL,2017-11-13,74.03,74.29,False,73.34,73.61,reg,6187837
PYPL,2017-11-14,74.49,74.82,False,73.62,74.1,reg,6281490
PYPL,2017-11-15,73.43,74.4,False,73.1853,74.3,reg,6232485
PYPL,2017-11-16,77.7,77.94,False,75.28,75.5,reg,12856516
PYPL,2017-11-17,76.38,78.01,False,75.8,78.01,reg,11886686
PYPL,2017-11-20,76.01,77.32,False,75.88,76.6,reg,6841836
PYPL,2017-11-21,77.77,78.43,False,76.85,77.09,reg,10603105
PYPL,2017-11-22,77.57,77.99,False,76.62,77.9,reg,8073499
PYPL,2017-11-24,78.57,78.9,False,77.7,77.81,reg,4306578
PYPL,2017-11-27,77.84,79.385,False,77.71,78.63,reg,6780920
PYPL,2017-11-28,77.79,78.23,False,77.2435,77.95,reg,8741506
PYPL,2017-11-29,73.25,77.98,False,71.67,77.95,reg,25202112
PYPL,2017-11-30,75.73,75.87,False,73.54,73.77,reg,15962025
PYPL,2017-12-01,75.3,76.44,False,74.26,75.22,reg,13387754
PYPL,2017-12-04,70.97,75.7439,False,68.61,75.59,reg,26283639
PYPL,2017-12-05,71.2,72.75,False,69.61,69.81,reg,16634001
PYPL,2017-12-06,73.14,73.2,False,70.83,70.89,reg,9331407
PYPL,2017-12-07,73.69,74.069,False,73.25,73.25,reg,7937722
PYPL,2017-12-08,72.91,74.71,False,72.6,74.71,reg,8350428
PYPL,2017-12-11,73.29,73.68,False,72.56,72.96,reg,6421869
PYPL,2017-12-12,73.62,74.31,False,73.0,73.45,reg,6573512
PYPL,2017-12-13,74.09,75.42,False,73.77,74.08,reg,7196416
PYPL,2017-12-14,74.26,75.53,False,74.2,74.5,reg,7519576
