symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
TWTR,2017-09-01,16.86,17.0,False,16.58,16.97,reg,8515176
TWTR,2017-09-05,16.65,16.9,False,16.44,16.82,reg,10503817
TWTR,2017-09-06,16.83,17.05,False,16.5162,16.65,reg,12335533
TWTR,2017-09-07,17.22,17.41,False,16.8301,16.85,reg,14659914
TWTR,2017-09-08,17.45,17.46,False,17.08,17.19,reg,11608181
TWTR,2017-09-11,17.66,17.78,False,17.27,17.47,reg,14002047
TWTR,2017-09-12,18.17,18.29,False,17.7,17.7,reg,19795434
TWTR,2017-09-13,18.2,18.49,False,18.09,18.15,reg,13710745
TWTR,2017-09-14,18.21,18.27,False,17.94,18.15,reg,9304102
TWTR,2017-09-15,18.01,18.395,False,17.95,18.25,reg,12649429
TWTR,2017-09-18,17.6,18.09,False,17.47,18.01,reg,14710694
TWTR,2017-09-19,17.76,17.8,False,17.48,17.66,reg,7090736
TWTR,2017-09-20,17.62,17.84,False,17.51,17.8,reg,7724700
TWTR,2017-09-21,17.58,17.65,False,17.35,17.6,reg,6952120
TWTR,2017-09-22,17.61,17.6275,False,17.42,17.49,reg,5551482
TWTR,2017-09-25,16.98,17.72,False,16.82,17.6,reg,13251687
TWTR,2017-09-26,16.59,17.16,False,16.57,17.03,reg,12933178
TWTR,2017-09-27,16.95,17.05,False,16.755,16.9,reg,9071342
TWTR,2017-09-28,16.85,16.93,False,16.75,16.87,reg,7037186
TWTR,2017-09-29,16.87,17.04,False,16.75,16.89,reg,9384553
TWTR,2017-10-02,17.09,17.15,False,16.78,16.8,reg,8460268
TWTR,2017-10-03,17.59,17.63,False,17.12,17.13,reg,13043658
TWTR,2017-10-04,17.75,17.82,False,17.5,17.82,reg,17353809
TWTR,2017-10-05,18.25,18.29,False,17.74,17.8,reg,21249585
TWTR,2017-10-06,17.85,18.13,False,17.66,18.03,reg,16418956
TWTR,2017-10-09,17.67,18.05,False,17.65,17.82,reg,8814354
TWTR,2017-10-10,17.41,17.93,False,17.39,17.77,reg,10186127
TWTR,2017-10-11,17.73,17.78,False,17.43,17.54,reg,9990927
TWTR,2017-10-12,18.45,18.66,False,17.73,17.77,reg,30723697
TWTR,2017-10-13,18.63,18.79,False,18.35,18.45,reg,15809855
TWTR,2017-10-16,18.33,18.61,False,18.23,18.59,reg,13009312
TWTR,2017-10-17,18.28,18.465,False,18.11,18.31,reg,8935415
TWTR,2017-10-18,18.02,18.35,False,17.97,18.23,reg,7771996
TWTR,2017-10-19,17.89,17.95,False,17.65,17.84,reg,9281278
TWTR,2017-10-20,17.87,18.06,False,17.83,17.98,reg,7257730
TWTR,2017-10-23,17.37,17.955,False,17.34,17.94,reg,14017742
TWTR,2017-10-24,17.25,17.6,False,17.23,17.5,reg,12550376
TWTR,2017-10-25,17.14,17.41,False,17.03,17.2,reg,19766519
TWTR,2017-10-26,20.31,20.63,False,18.9,19.22,reg,112277625
TWTR,2017-10-27,21.68,21.96,False,20.15,20.18,reg,63611092
TWTR,2017-10-30,21.25,21.775,False,21.06,21.4,reg,34019386
TWTR,2017-10-31,20.62,21.56,False,20.46,21.26,reg,28049247
TWTR,2017-11-01,20.61,20.99,False,20.4,20.74,reg,18828828
TWTR,2017-11-02,19.71,20.63,False,19.64,20.5,reg,24475142
TWTR,2017-11-03,19.9,20.24,False,19.52,19.87,reg,22259550
