symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
UA,2017-09-01,15.39,15.51,False,14.98,15.23,reg,3544314
UA,2017-09-05,15.62,15.81,False,15.21,15.26,reg,2707232
UA,2017-09-06,15.8,15.96,False,15.68,15.68,reg,2413618
UA,2017-09-07,15.98,16.02,False,15.8301,15.86,reg,2825210
UA,2017-09-08,16.12,16.3,False,15.915,15.98,reg,2234235
UA,2017-09-11,16.34,16.49,False,16.15,16.27,reg,2825140
UA,2017-09-12,16.25,16.26,False,15.815,16.19,reg,3149171
UA,2017-09-13,16.87,16.89,False,16.14,16.29,reg,3903776
UA,2017-09-14,16.52,16.88,False,16.29,16.85,reg,3727761
UA,2017-09-15,16.46,16.55,False,16.325,16.48,reg,3218026
UA,2017-09-18,16.14,16.58,False,16.06,16.48,reg,2505788
UA,2017-09-19,15.7,15.93,False,15.58,15.87,reg,4988164
UA,2017-09-20,15.24,15.7,False,15.095,15.7,reg,4558287
UA,2017-09-21,15.13,15.27,False,15.08,15.27,reg,2583645
UA,2017-09-22,15.04,15.2799,False,15.031,15.06,reg,2378142
UA,2017-09-25,15.39,15.65,False,15.17,15.17,reg,3478162
UA,2017-09-26,15.14,15.52,False,15.1,15.45,reg,3561405
UA,2017-09-27,15.06,15.14,False,14.8,15.12,reg,5094964
UA,2017-09-28,15.07,15.15,False,14.95,15.03,reg,2509797
UA,2017-09-29,15.02,15.17,False,14.96,15.09,reg,4255817
UA,2017-10-02,15.08,15.09,False,14.83,15.07,reg,3161560
UA,2017-10-03,15.26,15.34,False,15.03,15.1,reg,2527489
UA,2017-10-04,15.03,15.375,False,15.02,15.25,reg,2798606
UA,2017-10-05,15.03,15.19,False,14.84,15.05,reg,3146738
UA,2017-10-06,15.46,15.6,False,15.0,15.0,reg,4305299
UA,2017-10-09,15.3,15.48,False,15.07,15.45,reg,2691869
UA,2017-10-10,15.51,15.69,False,15.31,15.38,reg,2340288
UA,2017-10-11,15.15,15.45,False,15.1,15.201,reg,2485328
UA,2017-10-12,15.22,15.255,False,14.88,15.05,reg,2797286
UA,2017-10-13,14.95,15.345,False,14.85,15.22,reg,3972222
UA,2017-10-16,14.98,15.11,False,14.8462,14.85,reg,2416536
UA,2017-10-17,15.11,15.18,False,14.85,14.97,reg,2169173
UA,2017-10-18,14.98,15.21,False,14.94,15.13,reg,2482887
UA,2017-10-19,15.02,15.15,False,14.9,14.92,reg,2141529
UA,2017-10-20,15.91,16.02,False,15.11,15.12,reg,6757945
UA,2017-10-23,15.22,15.94,False,15.19,15.81,reg,5164705
UA,2017-10-24,14.83,15.27,False,14.77,15.27,reg,5480882
UA,2017-10-25,14.65,14.84,False,14.29,14.79,reg,5815250
UA,2017-10-26,14.65,14.825,False,14.42,14.6,reg,5011956
UA,2017-10-27,14.4,14.68,False,14.3,14.61,reg,5450573
UA,2017-10-30,14.74,14.87,False,14.11,14.17,reg,8795611
UA,2017-10-31,11.53,13.36,False,11.4,13.02,reg,36954006
UA,2017-11-01,11.29,11.82,False,10.91,11.46,reg,21617457
UA,2017-11-02,10.84,11.42,False,10.42,11.23,reg,18830932
UA,2017-11-03,10.59,10.95,False,10.54,10.93,reg,8896391
UA,2017-11-06,10.97,11.03,False,10.36,10.5,reg,8861715
UA,2017-11-07,10.74,11.22,False,10.67,11.1,reg,7914227
UA,2017-11-08,10.83,10.87,False,10.525,10.73,reg,5559942
UA,2017-11-09,10.99,11.24,False,10.73,10.86,reg,8036493
UA,2017-11-10,11.37,11.4,False,10.95,11.01,reg,7664588
UA,2017-11-13,10.95,11.52,False,10.91,11.35,reg,7020187
UA,2017-11-14,10.92,11.06,False,10.74,10.95,reg,3580082
UA,2017-11-15,11.11,11.34,False,10.7,10.8,reg,4807233
UA,2017-11-16,11.28,11.3,False,10.89,11.11,reg,3843718
UA,2017-11-17,11.73,11.88,False,11.38,11.5,reg,7986386
UA,2017-11-20,12.07,12.08,False,11.72,11.75,reg,6060219
UA,2017-11-21,11.36,12.17,False,11.31,12.1,reg,10578514
UA,2017-11-22,11.67,11.775,False,11.245,11.34,reg,3864491
UA,2017-11-24,11.59,11.75,False,11.53,11.71,reg,2187890
UA,2017-11-27,11.35,11.72,False,11.27,11.62,reg,3453577
UA,2017-11-28,11.51,11.56,False,11.25,11.35,reg,2703977
UA,2017-11-29,12.18,12.25,False,11.56,11.57,reg,5618725
UA,2017-11-30,11.93,12.42,False,11.84,12.18,reg,4329924
UA,2017-12-01,11.73,11.905,False,11.53,11.9,reg,4208102
UA,2017-12-04,11.98,12.09,False,11.84,11.85,reg,3458177
UA,2017-12-05,11.72,12.08,False,11.6625,12.02,reg,3007107
UA,2017-12-06,11.55,11.71,False,11.368,11.65,reg,3520601
UA,2017-12-07,11.93,12.0,False,11.56,11.57,reg,3205451
UA,2017-12-08,12.19,12.29,False,11.78,11.95,reg,3885305
UA,2017-12-11,12.18,12.2277,False,11.93,12.2,reg,3250706
UA,2017-12-12,12.38,12.42,False,12.08,12.38,reg,3510211
UA,2017-12-13,12.36,12.48,False,12.2,12.44,reg,2793215
UA,2017-12-14,12.45,12.545,False,12.21,12.38,reg,2654281
UA,2017-12-15,13.62,13.93,False,12.8,12.83,reg,18509445
UA,2017-12-18,14.24,14.33,False,13.41,13.91,reg,10300791
UA,2017-12-19,14.1,14.36,False,14.0,14.3,reg,4616945
UA,2017-12-20,13.72,14.14,False,13.585,14.04,reg,5351996
UA,2017-12-21,13.95,13.97,False,13.59,13.77,reg,6676904
UA,2017-12-22,13.8,13.92,False,13.4653,13.81,reg,6300618
UA,2017-12-26,14.07,14.1,False,13.66,13.73,reg,3032604
UA,2017-12-27,14.23,14.561,False,14.05,14.1,reg,5030027
UA,2017-12-28,14.14,14.27,False,14.0,14.22,reg,4597333
UA,2017-12-29,13.32,14.14,False,13.2946,14.07,reg,6684072
UA,2018-01-02,13.97,14.01,False,13.23,13.45,reg,6264809
UA,2018-01-03,14.4,14.47,False,13.97,13.97,reg,4839585
UA,2018-01-04,14.75,14.79,False,14.28,14.44,reg,6026551
UA,2018-01-05,14.73,15.69,False,14.71,14.75,reg,9431345
UA,2018-01-08,14.78,15.139,False,14.64,14.69,reg,4838135
UA,2018-01-09,14.1,14.62,False,13.97,14.16,reg,8791364
UA,2018-01-10,13.94,14.05,False,13.67,13.85,reg,5960052
UA,2018-01-11,14.13,14.49,False,13.82,13.95,reg,6438818
UA,2018-01-12,14.14,14.39,False,13.9,14.21,reg,4573854
UA,2018-01-16,12.48,13.88,False,12.3,13.74,reg,14256780
UA,2018-01-17,12.39,12.66,False,12.27,12.57,reg,7005987
UA,2018-01-18,12.37,12.39,False,12.16,12.33,reg,6691103
UA,2018-01-19,12.85,12.98,False,12.3968,12.4,reg,6101584
UA,2018-01-22,13.28,13.28,False,12.67,12.85,reg,4735057
UA,2018-01-23,13.59,13.75,False,13.29,13.36,reg,4143943
UA,2018-01-24,13.61,13.76,False,13.23,13.61,reg,3964507
UA,2018-01-25,13.31,13.73,False,13.14,13.73,reg,3314927
UA,2018-01-26,13.27,13.42,False,13.15,13.3,reg,2584562
UA,2018-01-29,13.18,13.415,False,13.15,13.15,reg,3546154
UA,2018-01-30,12.99,13.2,False,12.7699,13.08,reg,3013993
UA,2018-01-31,12.85,13.05,False,12.75,13.02,reg,3172929
UA,2018-02-01,12.7,12.91,False,12.51,12.67,reg,2924631
UA,2018-02-02,12.41,12.765,False,12.3,12.64,reg,2607829
UA,2018-02-05,11.87,12.54,False,11.86,12.25,reg,3088130
UA,2018-02-06,12.05,12.12,False,11.41,11.65,reg,6084580
UA,2018-02-07,12.15,12.53,False,12.05,12.08,reg,3775156
UA,2018-02-08,11.95,12.25,False,11.7,12.14,reg,3267739
UA,2018-02-09,12.46,12.63,False,11.92,12.08,reg,5646164
UA,2018-02-12,13.18,13.43,False,12.6,12.61,reg,8042844
UA,2018-02-13,15.29,15.65,False,14.49,14.55,reg,20751087
UA,2018-02-14,16.14,16.33,False,14.45,15.13,reg,10617147
UA,2018-02-15,16.54,16.74,False,15.72,16.16,reg,8754407
UA,2018-02-16,15.78,16.83,False,15.74,16.44,reg,5414150
UA,2018-02-20,15.41,16.135,False,15.34,15.7,reg,4584866
UA,2018-02-21,15.32,15.74,False,15.31,15.49,reg,3005290
UA,2018-02-22,14.97,15.51,False,14.91,15.37,reg,2887897
UA,2018-02-23,15.3,15.41,False,14.94,15.05,reg,2209963
UA,2018-02-26,15.42,15.59,False,15.22,15.32,reg,3373585
UA,2018-02-27,15.09,15.9248,False,15.0839,15.51,reg,3282664
UA,2018-02-28,15.05,15.3,False,14.885,15.22,reg,3608327
UA,2018-03-01,14.39,15.13,False,14.32,15.06,reg,5492570
UA,2018-03-02,15.23,15.295,False,14.02,14.2,reg,5519901
UA,2018-03-05,15.56,15.7,False,15.03,15.13,reg,3610569
UA,2018-03-06,15.73,15.85,False,15.36,15.55,reg,4001851
UA,2018-03-07,15.5,15.73,False,15.4025,15.53,reg,2661374
UA,2018-03-08,15.29,15.64,False,15.2,15.57,reg,2181357
UA,2018-03-09,15.18,15.5,False,15.03,15.41,reg,2703757
UA,2018-03-12,15.24,15.34,False,15.0,15.2,reg,3178961
UA,2018-03-13,14.58,15.45,False,14.56,15.22,reg,4461972
UA,2018-03-14,14.02,14.72,False,13.8,14.59,reg,6167374
UA,2018-03-15,13.83,14.25,False,13.76,14.06,reg,2784674
UA,2018-03-16,14.08,14.2593,False,13.69,13.87,reg,4076207
UA,2018-03-19,14.07,14.24,False,13.81,14.02,reg,2932363
UA,2018-03-20,14.01,14.25,False,13.915,14.12,reg,2990119
UA,2018-03-21,14.07,14.23,False,13.93,13.93,reg,2244620
