symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
URI,2017-09-01,120.56,121.18,False,118.37,118.37,reg,1646493
URI,2017-09-05,119.09,121.68,False,117.86,120.56,reg,1508664
URI,2017-09-06,121.16,121.43,False,119.79,120.46,reg,1439456
URI,2017-09-07,123.09,123.16,False,120.33,121.5,reg,1871370
URI,2017-09-08,126.69,128.0,False,123.5,123.5,reg,2616453
URI,2017-09-11,125.03,126.34,False,123.4475,125.4,reg,2174607
URI,2017-09-12,127.69,128.49,False,126.17,127.11,reg,1418599
URI,2017-09-13,128.82,129.63,False,126.11,127.5,reg,1435196
URI,2017-09-14,127.36,128.75,False,126.79,128.27,reg,1301850
URI,2017-09-15,128.1,128.82,False,126.97,127.15,reg,1119491
URI,2017-09-18,129.43,129.51,False,128.09,128.1,reg,920101
URI,2017-09-19,129.89,129.9599,False,128.12,129.5,reg,846804
URI,2017-09-20,130.74,132.3,False,129.72,130.0,reg,1041624
URI,2017-09-21,130.12,131.21,False,129.9,131.21,reg,894847
URI,2017-09-22,132.31,132.81,False,129.01,129.72,reg,998025
URI,2017-09-25,132.21,132.98,False,131.22,132.72,reg,1023859
URI,2017-09-26,133.94,134.57,False,132.0236,132.4,reg,1040747
URI,2017-09-27,135.69,137.12,False,134.15,134.63,reg,1236709
URI,2017-09-28,137.97,138.33,False,135.18,135.77,reg,1039295
URI,2017-09-29,138.74,139.98,False,136.96,137.96,reg,1224408
URI,2017-10-02,139.2,139.75,False,136.84,139.2,reg,1368309
URI,2017-10-03,142.71,142.71,False,138.98,139.71,reg,1670161
URI,2017-10-04,140.75,142.31,False,139.46,142.22,reg,1654326
URI,2017-10-05,141.98,143.145,False,140.81,141.54,reg,997729
URI,2017-10-06,142.24,143.0674,False,141.0,141.43,reg,865296
URI,2017-10-09,142.49,142.88,False,141.09,142.66,reg,810836
URI,2017-10-10,141.55,144.19,False,140.35,143.6,reg,1105772
URI,2017-10-11,142.16,142.44,False,140.9085,141.63,reg,826267
URI,2017-10-12,144.01,144.35,False,140.16,140.99,reg,1120115
URI,2017-10-13,144.21,145.56,False,143.43,144.9,reg,885179
URI,2017-10-16,145.79,146.67,False,144.45,145.89,reg,1203988
URI,2017-10-17,143.34,145.63,False,143.01,145.43,reg,1525591
URI,2017-10-18,144.32,144.6,False,142.16,144.07,reg,1922436
URI,2017-10-19,144.4,147.6,False,140.94,144.8,reg,2955807
URI,2017-10-20,144.4,146.69,False,144.03,144.81,reg,2525019
URI,2017-10-23,141.48,144.6425,False,141.2,144.44,reg,1372425
URI,2017-10-24,143.94,145.5,False,142.18,142.45,reg,1420408
URI,2017-10-25,138.91,144.1,False,138.19,143.25,reg,2508062
URI,2017-10-26,141.24,142.225,False,139.3,139.75,reg,2020988
URI,2017-10-27,145.94,146.06,False,141.34,141.34,reg,1365757
URI,2017-10-30,143.59,146.72,False,143.25,145.32,reg,1256862
URI,2017-10-31,141.48,144.82,False,141.23,143.6,reg,1329063
URI,2017-11-01,143.67,144.59,False,142.6,143.339,reg,1147428
URI,2017-11-02,145.58,146.87,False,143.0,143.37,reg,1026466
URI,2017-11-03,144.71,146.0,False,144.46,145.09,reg,708200
URI,2017-11-06,148.4,148.52,False,145.12,145.26,reg,1092399
URI,2017-11-07,147.55,149.45,False,146.56,148.4,reg,765036
URI,2017-11-08,148.74,148.84,False,146.5,146.92,reg,917616
URI,2017-11-09,145.09,147.39,False,143.05,146.0,reg,1045045
URI,2017-11-10,146.31,146.98,False,144.95,144.95,reg,743269
URI,2017-11-13,144.61,145.72,False,143.58,145.19,reg,1313855
URI,2017-11-14,144.87,146.17,False,143.75,143.75,reg,1112907
URI,2017-11-15,143.38,144.85,False,141.36,143.97,reg,1058553
URI,2017-11-16,148.36,148.56,False,143.65,145.0,reg,1648929
URI,2017-11-17,150.09,151.145,False,147.4325,147.75,reg,1607283
URI,2017-11-20,151.5,152.76,False,149.75,149.75,reg,1027101
URI,2017-11-21,153.69,155.0,False,152.0,152.1,reg,1318804
URI,2017-11-22,153.27,154.96,False,152.5,154.61,reg,1053260
URI,2017-11-24,153.16,155.45,False,152.16,153.61,reg,768115
URI,2017-11-27,153.36,154.74,False,152.37,152.88,reg,1004909
URI,2017-11-28,156.6,156.8,False,153.18,154.02,reg,862976
URI,2017-11-29,157.84,158.6799,False,155.19,156.0,reg,1183980
URI,2017-11-30,159.48,161.35,False,158.04,158.48,reg,1467039
URI,2017-12-01,157.09,159.45,False,151.3,159.07,reg,1735795
URI,2017-12-04,159.75,163.92,False,159.73,160.22,reg,1313172
URI,2017-12-05,159.19,161.58,False,158.2,159.75,reg,918228
URI,2017-12-06,158.28,159.63,False,156.85,158.19,reg,606437
URI,2017-12-07,162.38,163.16,False,157.86,158.22,reg,966111
URI,2017-12-08,164.0,165.18,False,162.7725,163.74,reg,1094837
URI,2017-12-11,163.82,165.65,False,163.12,164.53,reg,949358
URI,2017-12-12,163.65,165.85,False,163.16,163.65,reg,832302
URI,2017-12-13,163.81,165.7,False,160.37,162.99,reg,948214
URI,2017-12-14,161.17,165.3,False,160.95,163.82,reg,990977
URI,2017-12-15,164.29,165.6,False,162.34,162.8,reg,1225904
URI,2017-12-18,168.57,169.05,False,165.56,165.98,reg,1292010
URI,2017-12-19,166.38,170.327,False,165.02,169.37,reg,1390067
URI,2017-12-20,168.3,169.02,False,165.73,167.99,reg,1419074
URI,2017-12-21,170.47,170.74,False,167.65,169.69,reg,1090348
URI,2017-12-22,169.49,171.32,False,168.22,170.47,reg,574958
URI,2017-12-26,170.61,171.83,False,168.99,169.0,reg,749716
URI,2017-12-27,171.47,172.22,False,170.02,170.47,reg,611021
URI,2017-12-28,173.33,173.47,False,171.03,172.38,reg,801869
URI,2017-12-29,171.91,174.4,False,171.78,173.79,reg,624486
URI,2018-01-02,173.58,173.96,False,171.697,172.92,reg,813322
URI,2018-01-03,175.19,175.735,False,173.4007,174.45,reg,844113
URI,2018-01-04,172.0,176.62,False,169.63,175.85,reg,1330970
URI,2018-01-05,171.38,173.32,False,169.5,173.0,reg,1078563
URI,2018-01-08,172.45,172.67,False,169.4272,171.29,reg,1623595
URI,2018-01-09,172.43,173.53,False,170.7,172.75,reg,981464
URI,2018-01-10,173.2,174.93,False,171.5,171.73,reg,1100526
URI,2018-01-11,179.99,179.99,False,174.635,174.81,reg,1533899
URI,2018-01-12,180.89,182.86,False,179.52,180.6,reg,882618
URI,2018-01-16,178.97,184.0,False,176.68,181.95,reg,1083840
URI,2018-01-17,180.17,180.6799,False,177.52,178.76,reg,693817
URI,2018-01-18,181.24,181.79,False,179.77,180.33,reg,814440
URI,2018-01-19,183.67,184.25,False,180.8156,181.7,reg,1208340
URI,2018-01-22,187.12,187.17,False,181.0,184.0,reg,995444
URI,2018-01-23,185.87,188.73,False,183.88,187.5,reg,1531460
URI,2018-01-24,185.52,187.08,False,183.88,186.47,reg,1836932
URI,2018-01-25,181.91,189.0,False,176.55,186.0,reg,3108655
URI,2018-01-26,185.37,187.25,False,180.44,184.69,reg,1963237
URI,2018-01-29,180.47,188.31,False,180.21,184.93,reg,1996942
