symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
VAR,2017-09-01,105.31,106.25,False,104.34,106.25,reg,603323
VAR,2017-09-05,106.08,106.44,False,104.93,105.29,reg,848032
VAR,2017-09-06,106.73,107.19,False,105.78,106.18,reg,532438
VAR,2017-09-07,105.3,106.28,False,104.89,106.23,reg,847547
VAR,2017-09-08,106.42,106.69,False,104.735,105.08,reg,584250
VAR,2017-09-11,107.19,107.34,False,106.37,107.0,reg,608627
VAR,2017-09-12,107.8,107.8,False,106.69,107.26,reg,477112
VAR,2017-09-13,107.68,107.8,False,106.91,107.56,reg,457193
VAR,2017-09-14,107.87,107.87,False,106.89,107.58,reg,958339
VAR,2017-09-15,106.33,107.6,False,106.21,107.6,reg,989902
VAR,2017-09-18,106.84,107.11,False,106.45,106.45,reg,443706
VAR,2017-09-19,106.18,107.41,False,106.1046,106.98,reg,761791
VAR,2017-09-20,106.98,107.35,False,106.24,106.27,reg,565195
VAR,2017-09-21,104.63,107.49,False,104.43,107.0,reg,668291
VAR,2017-09-22,105.19,105.27,False,104.34,104.68,reg,543840
VAR,2017-09-25,103.99,105.3,False,103.21,104.99,reg,599688
VAR,2017-09-26,103.48,104.98,False,103.42,104.39,reg,463726
VAR,2017-09-27,101.6,103.8499,False,100.59,103.69,reg,1235472
VAR,2017-09-28,99.73,101.63,False,99.43,101.61,reg,1062716
VAR,2017-09-29,100.06,100.13,False,98.34,99.77,reg,1068521
VAR,2017-10-02,100.1,101.33,False,99.72,100.21,reg,955245
VAR,2017-10-03,100.13,100.57,False,99.25,100.09,reg,875862
VAR,2017-10-04,101.96,102.0099,False,100.14,100.14,reg,1312573
VAR,2017-10-05,102.49,102.49,False,100.95,101.84,reg,871735
VAR,2017-10-06,102.39,102.82,False,102.0,102.41,reg,764111
VAR,2017-10-09,100.37,102.26,False,100.27,102.26,reg,648129
VAR,2017-10-10,100.4,100.89,False,100.21,100.3,reg,675907
VAR,2017-10-11,100.91,101.58,False,100.1,101.18,reg,666139
VAR,2017-10-12,102.27,102.44,False,100.58,100.94,reg,600423
VAR,2017-10-13,102.7,102.89,False,101.89,102.25,reg,460675
VAR,2017-10-16,102.83,103.57,False,102.33,102.81,reg,1095526
VAR,2017-10-17,104.2,104.25,False,102.35,102.77,reg,461432
VAR,2017-10-18,104.4,105.36,False,104.36,104.46,reg,582358
VAR,2017-10-19,105.6,105.78,False,103.66,104.41,reg,544093
VAR,2017-10-20,106.69,107.74,False,105.65,106.0,reg,839589
VAR,2017-10-23,107.37,108.78,False,106.59,107.06,reg,694281
VAR,2017-10-24,107.36,107.96,False,106.78,107.44,reg,629565
VAR,2017-10-25,107.9,108.65,False,106.55,106.91,reg,1094383
VAR,2017-10-26,104.41,104.84,False,99.0,99.5,reg,2313810
VAR,2017-10-27,106.35,106.4,False,104.18,104.23,reg,863070
VAR,2017-10-30,103.52,106.13,False,103.37,105.54,reg,877834
VAR,2017-10-31,104.19,104.94,False,102.93,103.68,reg,706633
VAR,2017-11-01,104.22,105.06,False,103.98,104.77,reg,698367
VAR,2017-11-02,104.67,105.4,False,104.11,104.11,reg,618289
VAR,2017-11-03,106.09,106.43,False,104.24,104.24,reg,749190
VAR,2017-11-06,106.18,106.36,False,105.1,105.47,reg,875731
VAR,2017-11-07,106.47,106.62,False,105.6,106.49,reg,1058926
VAR,2017-11-08,107.6,107.66,False,106.05,106.58,reg,936148
VAR,2017-11-09,107.69,108.14,False,105.91,106.62,reg,718967
VAR,2017-11-10,107.55,108.13,False,106.83,107.23,reg,682579
VAR,2017-11-13,108.24,108.34,False,106.39,107.0,reg,639734
VAR,2017-11-14,109.34,109.71,False,107.69,108.07,reg,885690
VAR,2017-11-15,107.89,109.18,False,107.5,108.87,reg,714445
VAR,2017-11-16,109.22,109.31,False,107.38,108.24,reg,667747
VAR,2017-11-17,109.03,109.585,False,108.25,108.9,reg,611398
VAR,2017-11-20,109.24,110.23,False,108.73,109.45,reg,585812
VAR,2017-11-21,108.4,109.76,False,108.16,109.42,reg,818211
VAR,2017-11-22,108.79,108.96,False,107.61,108.29,reg,589002
VAR,2017-11-24,108.87,109.21,False,108.18,108.91,reg,211351
VAR,2017-11-27,109.46,110.03,False,108.66,109.08,reg,482373
VAR,2017-11-28,109.53,109.8,False,108.47,109.56,reg,658510
