symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
VNO,2017-09-01,72.421900,72.624700,False,71.668600,71.968000,reg,616486
VNO,2017-09-05,71.803900,72.846900,False,71.311300,72.615100,reg,659137
VNO,2017-09-06,71.823200,72.542700,False,71.736300,72.122600,reg,1054861
VNO,2017-09-07,71.002300,72.267400,False,70.731900,71.987300,reg,1176550
VNO,2017-09-08,71.369300,71.919700,False,70.857400,70.857400,reg,1286575
VNO,2017-09-11,72.344700,72.470200,False,71.350000,71.765200,reg,711553
VNO,2017-09-12,71.755600,72.586100,False,71.465800,72.344700,reg,645834
VNO,2017-09-13,71.968000,72.112900,False,71.407900,71.659000,reg,1308689
VNO,2017-09-14,72.605400,73.069000,False,71.765200,71.929400,reg,1434956
VNO,2017-09-15,72.537800,72.953100,False,72.151500,72.653700,reg,1704004
VNO,2017-09-18,72.006700,72.779300,False,71.910100,72.499200,reg,1347897
VNO,2017-09-19,70.857400,72.035600,False,70.818800,71.977700,reg,1382736
VNO,2017-09-20,71.301700,71.325800,False,70.278000,70.857400,reg,1025271
VNO,2017-09-21,73.040000,73.213900,False,71.359600,71.378900,reg,1270738
VNO,2017-09-22,73.069000,73.484300,False,72.682700,73.049700,reg,2078848
VNO,2017-09-25,73.503600,73.745000,False,72.846900,73.069000,reg,868962
VNO,2017-09-26,74.324500,74.508000,False,73.204200,73.493900,reg,1570768
VNO,2017-09-27,74.218200,74.382400,False,73.831900,74.170000,reg,1644685
VNO,2017-09-28,74.652800,74.913600,False,74.044400,74.198900,reg,1266907
VNO,2017-09-29,74.247200,74.836300,False,73.706400,74.556300,reg,1400437
VNO,2017-10-02,74.372800,74.710800,False,73.957500,74.363100,reg,849606
VNO,2017-10-03,74.643200,74.681800,False,74.092700,74.411400,reg,777232
VNO,2017-10-04,75.000500,75.010200,False,74.392100,74.672100,reg,611026
VNO,2017-10-05,75.464100,76.159400,False,74.990800,75.116400,reg,925139
VNO,2017-10-06,75.415800,75.512400,False,74.643200,75.338500,reg,437727
VNO,2017-10-09,75.135700,75.570300,False,75.039100,75.299900,reg,677247
VNO,2017-10-10,76.227000,76.980300,False,75.637900,76.188400,reg,1353837
VNO,2017-10-11,76.642300,77.067200,False,76.024200,76.680900,reg,1078775
VNO,2017-10-12,76.845100,76.864400,False,76.198000,76.584300,reg,806669
VNO,2017-10-13,77.154100,77.550100,False,76.700200,77.231400,reg,610843
VNO,2017-10-16,76.227000,77.221700,False,76.188400,77.125200,reg,921350
VNO,2017-10-17,75.599300,76.439500,False,75.502700,75.946900,reg,704479
VNO,2017-10-18,74.363100,75.821400,False,74.141000,75.541300,reg,1554666
VNO,2017-10-19,72.286700,74.208600,False,72.170800,74.208600,reg,2365215
VNO,2017-10-20,71.948700,72.354300,False,71.137500,72.161200,reg,1921264
VNO,2017-10-23,72.016300,72.373700,False,71.726600,72.267400,reg,838150
