symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
WAT,2017-09-01,183.03,183.9,False,181.2,183.66,reg,476779
WAT,2017-09-05,182.9,183.23,False,180.35,182.13,reg,630838
WAT,2017-09-06,183.91,184.24,False,181.16,183.37,reg,487276
WAT,2017-09-07,184.88,185.1,False,182.2,184.16,reg,642262
WAT,2017-09-08,186.56,186.9,False,184.745,184.79,reg,505369
WAT,2017-09-11,189.11,189.14,False,186.8,187.29,reg,492350
WAT,2017-09-12,190.0,190.39,False,188.65,188.9,reg,321026
WAT,2017-09-13,189.65,189.72,False,188.71,189.4,reg,400681
WAT,2017-09-14,189.32,190.2,False,188.02,189.25,reg,421130
WAT,2017-09-15,187.73,189.35,False,187.26,189.35,reg,527206
WAT,2017-09-18,188.95,189.19,False,186.76,188.09,reg,420777
WAT,2017-09-19,184.75,189.955,False,184.34,189.15,reg,414812
WAT,2017-09-20,183.86,185.37,False,181.28,184.64,reg,586595
WAT,2017-09-21,181.79,183.89,False,181.31,183.89,reg,347133
WAT,2017-09-22,181.16,182.07,False,179.565,181.82,reg,395723
WAT,2017-09-25,180.32,181.26,False,179.02,181.26,reg,392465
WAT,2017-09-26,178.98,180.24,False,178.03,179.59,reg,627737
WAT,2017-09-27,178.74,179.96,False,177.97,179.11,reg,420412
WAT,2017-09-28,178.78,178.9,False,177.58,178.22,reg,410556
WAT,2017-09-29,179.52,179.98,False,178.21,178.47,reg,334977
WAT,2017-10-02,182.04,182.98,False,179.27,179.71,reg,498615
WAT,2017-10-03,182.83,183.84,False,181.655,182.34,reg,431251
WAT,2017-10-04,183.83,184.32,False,182.36,182.69,reg,381179
WAT,2017-10-05,183.95,184.36,False,183.0806,184.1,reg,310293
WAT,2017-10-06,185.88,186.3,False,183.3,183.64,reg,341226
WAT,2017-10-09,183.8,185.1,False,182.795,185.06,reg,689276
WAT,2017-10-10,185.01,185.06,False,183.88,184.44,reg,389175
WAT,2017-10-11,185.67,186.12,False,184.67,185.16,reg,462662
WAT,2017-10-12,185.8,186.17,False,185.12,185.17,reg,276298
WAT,2017-10-13,185.79,186.81,False,185.4,186.31,reg,283127
WAT,2017-10-16,184.64,186.68,False,184.0,186.13,reg,481360
WAT,2017-10-17,180.92,184.29,False,180.44,183.94,reg,712315
WAT,2017-10-18,181.16,182.39,False,180.205,181.54,reg,381718
WAT,2017-10-19,185.45,185.67,False,181.12,181.28,reg,603943
WAT,2017-10-20,188.14,189.27,False,185.95,186.69,reg,632439
WAT,2017-10-23,187.55,190.64,False,187.4,188.57,reg,911113
WAT,2017-10-24,187.63,188.99,False,181.87,186.49,reg,1064578
WAT,2017-10-25,190.35,191.05,False,187.66,188.19,reg,630884
WAT,2017-10-26,194.63,194.985,False,188.89,190.84,reg,839722
WAT,2017-10-27,199.75,199.78,False,194.27,194.83,reg,882865
WAT,2017-10-30,196.22,199.58,False,194.87,199.39,reg,599285
WAT,2017-10-31,196.05,197.89,False,195.21,196.39,reg,385276
WAT,2017-11-01,198.05,199.26,False,196.1,197.3,reg,446604
WAT,2017-11-02,197.91,199.51,False,197.2,197.76,reg,395879
WAT,2017-11-03,197.92,198.71,False,196.68,197.9,reg,315257
WAT,2017-11-06,195.63,197.39,False,195.445,197.06,reg,390072
WAT,2017-11-07,196.35,196.56,False,194.3,195.36,reg,374610
WAT,2017-11-08,196.18,196.88,False,194.53,195.73,reg,229267
WAT,2017-11-09,194.97,196.01,False,193.26,195.28,reg,394321
WAT,2017-11-10,193.21,194.49,False,191.835,194.12,reg,383149
WAT,2017-11-13,194.64,195.12,False,191.93,192.34,reg,352045
WAT,2017-11-14,195.64,196.815,False,192.53,193.22,reg,342887
WAT,2017-11-15,194.84,195.95,False,194.26,195.52,reg,210194
WAT,2017-11-16,199.6,199.83,False,195.21,195.21,reg,364999
WAT,2017-11-17,198.21,199.15,False,197.45,198.6,reg,358591
WAT,2017-11-20,200.27,200.71,False,197.65,199.05,reg,281605
WAT,2017-11-21,198.06,198.96,False,194.05,198.9,reg,615971
WAT,2017-11-22,196.57,198.77,False,195.305,197.84,reg,336492
WAT,2017-11-24,195.95,197.93,False,194.67,196.4,reg,153380
WAT,2017-11-27,196.71,197.52,False,195.82,196.6,reg,317625
WAT,2017-11-28,197.8,198.15,False,195.49,197.5,reg,425287
WAT,2017-11-29,195.68,198.31,False,194.66,197.8,reg,332273
WAT,2017-11-30,197.17,198.02,False,194.17,196.12,reg,566770
WAT,2017-12-01,198.16,198.28,False,193.61,197.45,reg,526840
WAT,2017-12-04,194.67,201.95,False,194.6,199.9,reg,949716
WAT,2017-12-05,194.26,196.9,False,193.32,194.52,reg,307941
WAT,2017-12-06,195.2,195.28,False,192.48,194.6,reg,456734
WAT,2017-12-07,196.47,196.98,False,194.17,195.24,reg,388158
WAT,2017-12-08,199.29,199.77,False,196.66,197.37,reg,329626
WAT,2017-12-11,197.76,199.35,False,196.07,198.63,reg,595038
WAT,2017-12-12,197.5,198.26,False,197.0,197.5,reg,429871
WAT,2017-12-13,197.2,199.01,False,196.7338,198.2,reg,419393
WAT,2017-12-14,193.98,197.21,False,193.73,197.09,reg,499545
WAT,2017-12-15,196.56,197.99,False,194.54,194.54,reg,1123304
WAT,2017-12-18,197.72,198.725,False,197.02,197.02,reg,366520
WAT,2017-12-19,198.08,198.48,False,197.48,198.42,reg,247464
WAT,2017-12-20,196.06,199.23,False,196.01,198.78,reg,254740
WAT,2017-12-21,194.52,197.44,False,194.18,196.41,reg,294017
WAT,2017-12-22,193.79,194.86,False,192.56,194.52,reg,227342
WAT,2017-12-26,193.82,195.03,False,193.74,194.03,reg,116828
WAT,2017-12-27,193.45,194.735,False,193.04,193.98,reg,237920
WAT,2017-12-28,194.81,194.84,False,192.7,193.76,reg,194232
WAT,2017-12-29,193.19,195.66,False,193.16,195.52,reg,205357
WAT,2018-01-02,195.69,196.64,False,193.6,194.12,reg,355277
WAT,2018-01-03,197.77,197.94,False,195.35,195.35,reg,271720
WAT,2018-01-04,199.66,200.025,False,198.36,198.47,reg,337566
WAT,2018-01-05,202.23,202.85,False,200.0,200.68,reg,363889
WAT,2018-01-08,204.76,205.29,False,200.68,202.28,reg,483305
WAT,2018-01-09,208.96,210.08,False,205.53,206.24,reg,532404
WAT,2018-01-10,207.32,209.42,False,204.35,207.92,reg,308037
WAT,2018-01-11,207.73,208.1985,False,205.64,207.35,reg,202846
WAT,2018-01-12,209.75,210.04,False,205.955,207.51,reg,252990
WAT,2018-01-16,208.94,211.645,False,207.73,210.86,reg,512190
WAT,2018-01-17,209.16,210.91,False,207.12,210.91,reg,589750
WAT,2018-01-18,207.87,209.405,False,206.79,208.49,reg,756743
WAT,2018-01-19,210.72,211.1,False,208.4782,209.28,reg,739714
WAT,2018-01-22,214.77,215.19,False,210.75,211.28,reg,1242806
WAT,2018-01-23,210.99,218.72,False,206.62,218.5,reg,1038577
WAT,2018-01-24,214.3,215.28,False,210.18,212.71,reg,861288
WAT,2018-01-25,217.21,218.23,False,214.42,215.53,reg,431516
WAT,2018-01-26,218.14,218.57,False,216.69,218.18,reg,381249
WAT,2018-01-29,218.7,220.2,False,217.57,218.03,reg,491316
WAT,2018-01-30,214.87,217.0,False,214.6,217.0,reg,491162
WAT,2018-01-31,215.61,219.795,False,214.62,216.23,reg,603803
WAT,2018-02-01,217.37,218.66,False,213.52,214.16,reg,453178
WAT,2018-02-02,212.49,217.41,False,212.26,215.88,reg,642724
WAT,2018-02-05,203.26,212.64,False,202.89,211.61,reg,667076
WAT,2018-02-06,202.72,204.42,False,197.82,200.39,reg,852734
WAT,2018-02-07,201.98,204.985,False,201.87,202.2,reg,389289
WAT,2018-02-08,191.79,202.91,False,191.53,201.85,reg,898026
WAT,2018-02-09,193.59,195.74,False,187.66,194.0,reg,618089
WAT,2018-02-12,198.45,200.39,False,194.105,194.95,reg,614505
WAT,2018-02-13,200.2,201.15,False,196.35,197.5,reg,368892
WAT,2018-02-14,204.62,204.79,False,196.99,198.71,reg,483406
WAT,2018-02-15,206.9,206.95,False,204.47,206.46,reg,465199
WAT,2018-02-16,206.18,208.5,False,205.06,206.47,reg,341636
WAT,2018-02-20,203.87,206.17,False,203.175,204.75,reg,437759
WAT,2018-02-21,204.23,209.03,False,203.86,203.89,reg,430158
WAT,2018-02-22,204.47,207.41,False,203.44,205.38,reg,434963
WAT,2018-02-23,208.47,208.65,False,202.8,205.47,reg,395884
WAT,2018-02-26,208.45,208.98,False,206.035,208.98,reg,322678
WAT,2018-02-27,206.11,209.11,False,205.295,208.19,reg,369484
WAT,2018-02-28,204.64,209.48,False,204.63,206.63,reg,469881
WAT,2018-03-01,198.17,205.85,False,197.631,204.81,reg,490952
WAT,2018-03-02,200.11,200.39,False,196.2,196.7,reg,347531
WAT,2018-03-05,201.38,202.36,False,198.02,198.84,reg,394794
WAT,2018-03-06,205.32,205.4,False,200.73,201.56,reg,467218
WAT,2018-03-07,207.5,208.31,False,202.48,203.27,reg,388977
WAT,2018-03-08,208.96,209.32,False,206.64,208.67,reg,469991
WAT,2018-03-09,212.7,213.37,False,209.1,209.1,reg,351769
WAT,2018-03-12,212.87,213.57,False,211.53,212.9,reg,333531
WAT,2018-03-13,212.13,214.0,False,211.305,214.0,reg,403953
WAT,2018-03-14,211.22,213.27,False,210.85,212.98,reg,326149
WAT,2018-03-15,212.34,214.37,False,210.1,211.04,reg,328233
WAT,2018-03-16,213.18,213.88,False,211.615,212.78,reg,466893
WAT,2018-03-19,212.98,214.22,False,210.82,213.07,reg,592925
WAT,2018-03-20,214.46,215.34,False,211.34,212.59,reg,670146
