symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
XEC,2017-09-01,100.9506,101.1994,False,98.2938,99.6769,reg,1019174
XEC,2017-09-05,101.2392,102.6124,False,100.0849,101.5576,reg,984850
XEC,2017-09-06,102.3835,103.4781,False,101.9158,101.9457,reg,944659
XEC,2017-09-07,101.5775,102.3139,False,100.4133,101.5775,reg,720891
XEC,2017-09-08,98.9903,101.1397,False,98.7913,100.8909,reg,1138571
XEC,2017-09-11,99.8262,100.1148,False,98.9754,99.3685,reg,636336
XEC,2017-09-12,100.8113,101.7765,False,99.6272,100.0551,reg,686400
XEC,2017-09-13,106.1449,106.3539,False,101.3586,101.5079,reg,1412883
XEC,2017-09-14,106.1847,107.3191,False,105.7369,106.7221,reg,1423273
XEC,2017-09-15,106.1947,106.2743,False,104.9906,106.1051,reg,1258087
XEC,2017-09-18,106.7221,106.8813,False,105.11,105.7767,reg,701931
XEC,2017-09-19,106.6425,107.6972,False,106.3539,107.0206,reg,526810
XEC,2017-09-20,108.7819,109.4884,False,106.73200000000001,107.0704,reg,801698
XEC,2017-09-21,108.8316,109.4784,False,108.1251,108.5331,reg,515097
XEC,2017-09-22,110.3044,110.4437,False,108.0158,108.4933,reg,831986
XEC,2017-09-25,113.7274,113.7672,False,110.8914,111.2198,reg,1353967
XEC,2017-09-26,112.6826,113.9364,False,112.5632,112.8916,reg,789593
XEC,2017-09-27,114.9414,115.021,False,112.1751,113.1602,reg,734541
XEC,2017-09-28,113.6876,115.8569,False,112.8219,114.9414,reg,859433
XEC,2017-09-29,113.1105,114.0359,False,112.6537,113.0309,reg,635693
XEC,2017-10-02,115.429,115.62799999999999,False,110.6427,111.5084,reg,979582
XEC,2017-10-03,115.0509,116.3345,False,114.4489,115.1504,reg,671254
XEC,2017-10-04,115.0608,116.0858,False,114.4936,115.3992,reg,602666
XEC,2017-10-05,115.4887,115.9166,False,114.8917,115.3494,reg,515036
XEC,2017-10-06,115.0708,115.3494,False,113.6876,114.2648,reg,539374
